position, 'lastname', 'firstname', 'nationality',age,date of birth,WST Rider ID,fis code,points
372, 'Ivanovaite', 'Patricija', 'LTU',null,null,100859,null,28.14
372, 'Osmond', 'Andi', 'CAN',null,null,101090,null,28.14
374, 'Tanaka', 'Kaede', 'JPN',null,null,99503,null,28.07
375, 'D�rr', 'Anna Lena', 'SUI',null,null,98616,null,27.85
376, 'White', 'Kinsley', 'USA',null,null,86544,9535485,27.62
377, 'Poulat', 'Camille', 'FRA',null,null,100079,null,26.88
378, 'Snorradottir', 'Sol', 'ISL',null,null,99037,null,26.86
379, 'Bauer', 'Rosalie', 'GER',null,null,100795,null,26.67
380, 'Moreau', 'Clara', 'FRA',null,null,97376,null,26.53
381, 'Valkenborgh', 'Elle', 'BEL',null,null,101000,null,26.43
382, 'Gordon', 'Paige', 'CAN',null,null,97984,null,25.99
383, 'Demke', 'Lisa', 'SUI',null,null,99981,null,25.93
384, 'Kitano', 'Hiroka', 'JPN',null,null,97898,9305381,25.43
385, 'Wolf', 'Tanja', 'AUT',null,null,101107,null,25.09
386, 'Saarela', 'Iina', 'FIN',null,null,100690,null,24.65
387, 'Yen-Linn', 'Mak', 'AUT',null,null,101097,null,24.47
388, 'Nakashima', 'Risa', 'JPN',2,'2018-10-14',79015,9305321,24.38
389, 'Firnesz', 'Eva', 'CAN',null,null,97981,null,24.08
390, 'Graf', 'Lynne', 'SUI',null,null,99982,null,24.07
391, 'Langer', 'Caitlyn', 'USA',null,null,100657,null,24.01
392, 'MacGeorge', 'Zoe', 'SUI',null,null,100248,null,23.96
393, 'Topp Oye', 'Nora Synnove', 'NOR',null,null,99332,null,23.93
394, 'Milenkovic', 'Neda', 'SRB',null,null,99546,null,23.73
395, 'Holden', 'Gabriella', 'USA',null,null,100252,null,23.6
396, 'Bogart', 'Ashley', 'USA',null,null,98060,null,23.43
397, 'McCarthy', 'Amy', 'CAN',null,null,97923,null,23.34
397, 'Kalinovska', 'Tina', 'LAT',null,null,100028,null,23.34
399, 'Picchedda', 'Stella', 'FRA',null,null,100080,null,22.88
400, 'Nyvelt', 'Mila', 'AUT',null,null,97869,null,22.58
401, 'Sprenger', 'Samira', 'SUI',null,null,98369,null,22.27
402, 'Gabriele', 'Katie', 'USA',null,null,98866,null,22.04
403, 'Maeda', 'Saaya', 'JPN',null,null,99647,null,21.85
403, 'Brearley', 'Emma', 'CAN',null,null,93331,null,21.85
405, 'Fedchenko', 'Diana', 'RUS',null,null,96422,null,21.49
406, 'Kato', 'Yuki', 'JPN',null,null,95429,9305358,21.23
407, 'Vollelv', 'Frida', 'NOR',null,null,79594,null,21.01
407, 'Hankova', 'Stepanka', 'CZE',null,null,99367,null,21.01
407, 'Nordeen', 'Aj - Alexandra', 'USA',null,null,101069,null,21.01
410, 'Joenvaara', 'Janni', 'FIN',null,null,100691,null,20.83
411, 'Meyer', 'Binia Lia', 'SUI',null,null,99978,null,20.52
412, 'Okada', 'Riri', 'JPN',null,null,95002,null,20.51
413, 'Arakawa', 'Yui', 'JPN',null,null,100764,null,20.38
414, 'Peyachew', 'Mia', 'CAN',null,null,96663,null,19.98
415, 'Ootjers', 'Britt', 'NED',null,null,100446,null,19.95
416, 'Bowater-Antrim', 'Amelia', 'USA',null,null,98722,null,19.28
417, 'Bourdais', 'Marine', 'FRA',null,null,100081,null,19.13
418, 'Klim', 'Mathilde', 'DEN',null,null,99236,null,19.04
418, 'Hrychuck', 'Jayden', 'CAN',null,null,100580,null,19.04
420, 'Chisholm', 'Mary', 'CAN',null,null,101083,null,18.88
421, 'Lukaschek', 'Ida', 'GER',null,null,98608,null,18.81
422, 'Pascuet', 'Elia', 'AND',null,null,100522,null,18.72
423, 'Uzicanin', 'Alaia', 'BIH',null,null,100987,null,18.53
423, 'Becirevic', 'Tea', 'BIH',null,null,100988,null,18.53
423, 'Bertetic', 'Aurora', 'CRO',null,null,97681,null,18.53
423, 'Kasper', 'Katharina', 'GER',null,null,94807,null,18.53
427, 'Georgalli', 'Lucia', 'NZL',null,null,101134,null,18.29
428, 'Markelji', 'Vita', 'AUT',null,null,101108,null,18.19
429, 'Gill', 'Olivia', 'USA',null,null,98254,null,18
430, 'Oram', 'Malena', 'USA',null,null,98860,null,17.35
431, 'Aalto', 'Renee', 'FIN',null,null,100692,null,17.3
431, 'Martin', 'Monika Ros', 'ISL',null,null,97438,1259946,17.3
433, 'Kato', 'Manae', 'JPN',null,null,98178,9305357,17.27
434, 'Parkkisenniemi', 'Emmi', 'FIN',21,'1999-07-21',92530,9185065,17.17
435, 'Imper', 'Niah Johanna', 'SUI',null,null,98367,null,17.14
436, 'Loibl', 'Nina', 'GER',null,null,100796,null,16.89
437, 'Trtnik', 'Lana', 'SLO',null,null,100506,null,16.59
438, 'Pelchat', 'Amalia', 'CAN',null,null,99600,null,16.58
439, 'Cedillo', 'Noa', 'ESP',null,null,100534,null,16.57
440, 'Storgard', 'Sofia', 'CAN',null,null,99851,null,16.16
441, 'Scott', 'Pippa', 'USA',null,null,90043,null,16.11
442, 'Doty', 'Cailin', 'USA',null,null,96557,null,16.03
443, 'Vojvodic', 'Marta', 'SRB',null,null,99206,null,15.97
444, 'Leyval', 'Mailys', 'FRA',null,null,100082,null,15.58
445, 'Klebeck', 'Kiana', 'AUT',null,null,99970,null,15.5
446, 'Fasola Demingue', 'Issa', 'ARG',null,null,100199,null,15.48
447, 'Pollock', 'Margaux', 'USA',null,null,98788,null,15.38
448, 'Nishioka', 'Ayuko', 'JPN',null,null,95173,null,15.15
449, 'Palomeque Serrao', 'Joaquina', 'ARG',null,null,100196,null,15.12
449, 'V�tsch', 'Andrea', 'AUT',null,null,101109,null,15.12
451, 'Boyano', 'Valentina', 'ARG',null,null,100198,null,14.99
452, 'MacDonald', 'Kylie', 'CAN',null,null,101084,null,14.69
452, 'Stefansdottir', 'Adalheidur Dis', 'ISL',null,null,101057,null,14.69
452, 'Malinauskaite', 'Guoda Saule', 'LTU',null,null,89874,null,14.69
455, 'Gallardo', 'Elisenda', 'AND',null,null,100523,null,14.59
456, 'Vanaernam', 'Jessie', 'USA',null,null,100978,null,14.06
457, 'Dadadottir', 'Alis Helga', 'ISL',null,null,100168,null,14
457, 'Welling', 'Ronja', 'FIN',null,null,97148,null,14
459, 'Dzon', 'Antoaneta', 'MKD',null,null,101012,null,14
460, 'Ranzoni', 'Ladina', 'SUI',null,null,99979,null,13.88
461, 'Magrufova', 'Kamila', 'RUS',null,null,97496,9485331,13.72
462, 'Bowler', 'Margaret Grace', 'USA',null,null,97790,9535581,13.51
462, 'Nagoshi', 'Misaki', 'JPN',null,null,89285,9305330,13.51
464, 'Rotegaard', 'Hedda', 'NOR',null,null,100618,null,13.48
465, 'Gomariz', 'Laia', 'ESP',null,null,100535,null,12.76
466, 'Firnesz', 'Eryn', 'CAN',null,null,97979,null,12.58
467, 'Veitch', 'Maya', 'CAN',null,null,99380,null,12.43
468, 'Boesl', 'Magdalena', 'GER',null,null,100797,null,12.39
469, 'Bontognali', 'Marisol', 'SUI',null,null,98614,null,12.29
470, 'Scotti', 'Clara', 'ARG',null,null,100197,null,12.25
470, 'Perko', 'Sabrina', 'AUT',null,null,101126,null,12.25
472, 'Castillo', 'Victoria', 'FRA',null,null,100083,null,12.21
473, 'Kegode', 'Zahra-Kadi', 'USA',null,null,100912,null,12.15
474, 'Salinas Sanchis', 'Sofia', 'AND',null,null,100849,null,11.91
475, 'Deputter', 'Lynn', 'BEL',null,null,99808,null,11.8
476, 'Ozahata', 'Riko', 'JPN',null,null,99508,null,11.73
477, 'Delago', 'Mia', 'GER',null,null,100960,null,11.25
478, 'Oefner', 'Lea', 'AUT',null,null,100803,null,11.24
478, 'Sasaki', 'Hiyori', 'JPN',null,null,97889,null,11.24
480, 'Diaz', 'Azahara', 'ESP',null,null,100536,null,11.04
481, 'Jarvela', 'Neea', 'FIN',null,null,100693,null,10.91
481, 'Tomasdottir', 'Julietta Idunn', 'ISL',null,null,100109,null,10.91
483, 'Secord', 'Rachel', 'CAN',null,null,97363,null,10.76
484, 'Helgadottir', 'Lif', 'ISL',null,null,99038,null,10.75
484, 'Bugden', 'Ella', 'CAN',null,null,101085,null,10.75
484, 'Abou', 'Lola', 'FRA',22,'1998-07-13',92086,9195175,10.75
487, 'Harko', 'Dalma', 'HUN',null,null,99972,null,10.71
488, 'Isaacs', 'Annika', 'USA',null,null,100914,null,10.36
489, 'Pedersen Rektorli', 'Julie', 'NOR',null,null,100817,null,10.29
489, 'Caslavska', 'Stepanka', 'CZE',null,null,100020,9155089,10.29
491, 'Choi', 'Elle', 'CAN',null,null,97962,null,10.02
492, 'Smigel', 'Sophia', 'CAN',null,null,99423,null,9.93
493, 'V�tsch', 'Emma', 'AUT',null,null,101127,null,9.55
494, 'Dominguez', 'Maiatane', 'AND',null,null,100524,null,9.43
495, 'Yoshidomi', 'Megumi', 'JPN',null,null,101026,null,9.35
496, 'McCaffrey', 'Emmica', 'CAN',null,null,99352,null,9.21
497, 'Lounis', 'L�nnie Camille', 'SUI',null,null,99980,null,9.15
498, 'Bosanac', 'Mia', 'CRO',null,null,101014,null,9.14
499, 'Hensley', 'Kay', 'USA',null,null,99559,null,9.09
500, 'Coulais', 'Louise', 'FRA',null,null,100076,null,8.99
501, 'Matsuoka', 'Anju', 'JPN',null,null,98185,null,8.88
502, 'Van De Vlekkert', 'Alicia', 'NED',null,null,100836,null,8.82
503, 'McCafferty', 'Brecken', 'USA',null,null,100897,null,8.67
504, 'Buckley', 'Katy', 'USA',null,null,98713,9535566,8.45
505, 'Suzuki', 'Hikari', 'JPN',null,null,100829,null,8.34
506, 'Predpelski', 'Hazel', 'USA',null,null,100874,null,8.19
507, 'Polke', 'Maja', 'GER',null,null,100798,null,8.09
508, 'Korhonen', 'Saana', 'FIN',null,null,100694,null,7.99
509, 'Jung', 'Clea', 'FRA',null,null,100529,null,7.91
510, 'Bechter', 'Enya', 'SUI',null,null,100948,null,7.86
510, 'Francesia Borai', 'Lisa', 'ITA',null,null,99907,null,7.86
510, 'Meyer', 'Deva', 'AUT',null,null,96796,null,7.86
513, 'Pei', 'Lian', 'CHN',null,null,100228,null,7.66
514, 'Skinner', 'Liliana', 'SUI',null,null,99975,null,7.6
515, 'Van Domselaar', 'Wanda', 'ARG',null,null,100200,null,7.45
516, 'Delago', 'Emmy', 'GER',null,null,100961,null,7.39
517, 'Borders', 'Chloe', 'USA',null,null,99542,null,7.08
518, 'Katayama', 'Haruka', 'JPN',null,null,96930,null,7.02
519, 'Kettaneh', 'Zeina', 'LIB',null,null,100861,null,7
519, 'Osmond', 'Sadie', 'CAN',null,null,101086,null,7
521, 'Rehscg�tzer', 'Nina', 'AUT',null,null,101128,null,7
522, 'Kittilae', 'Emmi', 'FIN',null,null,100612,null,6.86
523, 'Inoe', 'Chika', 'JPN',null,null,95171,null,6.5
524, 'Berger', 'Elise', 'CAN',null,null,100581,null,6.1
525, 'Golland', 'Ella', 'SUI',null,null,99976,null,6.07
526, 'Rogalski', 'Erin', 'CAN',null,null,97214,null,6
527, 'Aure', 'Julia', 'NOR',null,null,100217,null,5.96
528, 'Fontaine', 'Suzanne', 'FRA',null,null,100077,null,5.89
529, 'Sun', 'Lianxin', 'CHN',null,null,96920,9125070,5.87
530, 'Vainionpaeae', 'Wilma', 'FIN',null,null,95741,null,5.8
530, 'Teksle', 'Guro', 'NOR',null,null,100431,null,5.8
532, 'Pilloud', 'Anja', 'USA',null,null,100913,null,5.55
533, 'Krauerova', 'Maja', 'CZE',null,null,100806,null,5.49
534, 'Steen-Oehme', 'Celine Amalie', 'NOR',null,null,100718,null,5.29
535, 'Raty', 'Pinja', 'FIN',null,null,100695,null,5.21
535, 'Olafsdottir', 'Valgerdur', 'ISL',null,null,100111,null,5.21
537, 'Guerrero', 'Lia', 'AND',null,null,100526,null,5.08
538, 'Stankovikj', 'Ema', 'MKD',null,null,100619,null,4.91
538, 'Nelson', 'Kjersten', 'USA',null,null,98728,null,4.91
540, 'Uno', 'Hanoka', 'JPN',null,null,100763,null,4.64
541, 'Kesselring', 'Lisa', 'SUI',null,null,98265,null,4.54
542, 'Stephenson', 'Nona', 'USA',null,null,100977,null,4.09
543, 'Flowers', 'Charlotte', 'USA',null,null,100720,null,4.05
544, 'Hurter', 'Helena', 'GER',null,null,100799,null,3.97
545, 'Steiner', 'Gretchen', 'AUT',null,null,100441,null,3.89
546, 'Louerau', 'Romy', 'FRA',null,null,100530,null,3.75
547, 'Durand', 'Toni', 'GER',null,null,100962,null,3.65
548, 'Boylan', 'Name', 'CAN',null,null,101087,null,3.43
548, 'Thormodsdottir', 'Freydis', 'ISL',null,null,101066,null,3.43
548, 'Fakhry', 'Huguette', 'LIB',null,null,98197,null,3.43
551, 'Rule', 'Peyton', 'CAN',null,null,99421,null,3.37
552, 'Morton', 'Alexandra', 'USA',null,null,97819,null,3.2
553, 'Sigg', 'Lani Tara', 'SUI',null,null,99977,null,3.02
554, 'Smirl', 'Avlyn', 'CAN',null,null,99360,null,2.94
554, 'Rogalski', 'Elsie', 'CAN',null,null,97205,null,2.94
556, 'Legrand', 'Maya', 'FRA',null,null,100078,null,2.9
557, 'Polatty', 'Alana', 'USA',null,null,99538,null,2.69
558, 'Lamer', 'Kennedy', 'USA',null,null,100875,null,2.65
559, 'Hamalainen', 'Aada', 'FIN',null,null,100696,null,2.55
559, 'Brynjarsdottir', 'Karen Lif', 'ISL',null,null,100116,null,2.55
559, 'Stocchetti Najda', 'Juana', 'ARG',null,null,100209,null,2.55
562, 'Wallet', 'Ella', 'FRA',null,null,100527,null,2.46
563, 'Yokoyama', 'Yuna', 'JPN',null,null,101027,null,2.25
565, 'Hlynsdottir', 'Birna Ida', 'ISL',null,null,100447,null,1.95
566, 'Nomura', 'Akari', 'JPN',null,null,100765,null,1.53
567, 'B�chi', 'Nina', 'SUI',null,null,98617,null,1.51
568, 'Cajelot', 'Romane', 'FRA',null,null,100528,null,1.22
