Key,position,lastname,firstname,nationality,age,date of birth,WST Rider ID,fis code,number of results,points,
ReevesJoshua,254,Reeves,Joshua,CAN,,,96695,,2 / (2),155.24,Reeves
EliBouchard,255,Eli,Bouchard,CAN,,,96624,,3 / (4),154.64,Eli
ScherrerIan,256,Scherrer,Ian,CAN,,,96220,,3 / (5),154.58,Scherrer
RodriguezLukas,257,Rodriguez,Lukas,ESP,,,97669,9490234,3 / (10),154.5,Rodriguez
AaltoRoni,258,Aalto,Roni,FIN,,,96435,,3 / (5),153.58,Aalto
KleinOskar,259,Klein,Oskar,CAN,19,8/16/01 0:00,88085,9100871,3 / (5),153.22,Klein
CannicionnieJulien,260,Cannicionnie,Julien,CAN,,,96657,9101031,3 / (5),153.19,Cannicionnie
CantelonJonah,261,Cantelon,Jonah,CAN,,,99402,,3 / (7),152.94,Cantelon
BucherJeremy,262,Bucher,Jeremy,SUI,,,92981,9510487,3 / (4),152.87,Bucher
AbeJinichiro,263,Abe,Jinichiro,JPN,,,96863,9300854,3 / (3),152.8,Abe
MatteoliIan,264,Matteoli,Ian,ITA,,,87524,,3 / (4),152.61,Matteoli
CornillatLucas,265,Cornillat,Lucas,FRA,,,95768,9190465,3 / (11),152.08,Cornillat
SchipaniDante,266,Schipani,Dante,USA,,,97781,9531471,3 / (3),151.23,Schipani
ObataKaishi,267,Obata,Kaishi,JPN,,,93043,9300909,3 / (5),150.89,Obata
KimuraKira,268,Kimura,Kira,JPN,,,98184,,3 / (3),150.79,Kimura
HoltzapfelCasper,269,Holtzapfel,Casper,NED,,,92431,9400070,3 / (4),150.44,Holtzapfel
LunnTobias,270,Lunn,Tobias,NOR,,,96211,,3 / (4),150.15,Lunn
AmsuessMoritz,271,Amsuess,Moritz,AUT,21,11/15/98 0:00,87375,9050254,2 / (2),148.97,Amsuess
RyghVetle,272,Rygh,Vetle,NOR,,,97691,,3 / (4),148.91,Rygh
GansererJakob,273,Ganserer,Jakob,GER,,,98010,,3 / (5),148.17,Ganserer
BastiaansenErik,274,Bastiaansen,Erik,NED,22,2/23/98 0:00,86114,9400045,2 / (2),147.82,Bastiaansen
OwczarekKrzysztof,275,Owczarek,Krzysztof,POL,,,98408,9430170,3 / (7),147.06,Owczarek
BehenskyLukas,276,Behensky,Lukas,AUT,,,97666,,3 / (6),146.78,Behensky
LamoureuxMathis,277,Lamoureux,Mathis,CAN,,,97932,,3 / (6),146.71,Lamoureux
BurnsOwen,278,Burns,Owen,CAN,17,5/11/03 0:00,92619,9101056,3 / (6),146.1,Burns
BidegainPedro,279,Bidegain,Pedro,ARG,,,90582,9030063,3 / (8),145.27,Bidegain
PoulinPatrice,280,Poulin,Patrice,CAN,20,12/12/99 0:00,92947,9100986,2 / (2),145.25,Poulin
FoyRakim,281,Foy,Rakim,NED,18,2/13/02 0:00,92826,9400080,3 / (5),144.94,Foy
PauliStan,282,Pauli,Stan,NED,18,10/5/02 0:00,92814,9400090,3 / (5),144.81,Pauli
SandblomShayne,283,Sandblom,Shayne,USA,,,97832,9531481,3 / (6),144.5,Sandblom
WaiteHarrison,284,Waite,Harrison,GBR,,,94219,9220112,3 / (3),144.37,Waite
BergerLiam,285,Berger,Liam,CAN,,,97992,,3 / (6),143.13,Berger
Merimee MantovaniLuca,286,Merimee Mantovani,Luca,FRA,,,92793,,3 / (7),143.11,Merimee Mantovani
ShirakawaMafuyu,287,Shirakawa,Mafuyu,JPN,,,81765,9300775,3 / (4),143.09,Shirakawa
WijnstraThom,288,Wijnstra,Thom,NED,,,100225,,3 / (5),142.86,Wijnstra
AbozovikNikita,289,Abozovik,Nikita,RUS,,,97494,9480695,3 / (7),142.81,Abozovik
EiblMaxwell,290,Eibl,Maxwell,CAN,,,97856,9101223,3 / (6),142.6,Eibl
HoffmanChris,291,Hoffman,Chris,USA,,,97650,,3 / (3),141.25,Hoffman
JarominJan,292,Jaromin,Jan,POL,18,12/5/01 0:00,90873,9430152,3 / (5),140.69,Jaromin
ColebrookAidan,293,Colebrook,Aidan,CAN,,,97034,,3 / (5),140.63,Colebrook
CavanaghConnor,294,Cavanagh,Connor,USA,,,98883,,3 / (4),140.28,Cavanagh
HolzingerDominik,295,Holzinger,Dominik,AUT,,,97724,9050175,3 / (7),137.98,Holzinger
AllemandRomain,296,Allemand,Romain,FRA,,,96542,,3 / (4),137.35,Allemand
ZawalykutRiley,297,Zawalykut,Riley,CAN,,,97954,,3 / (5),136.84,Zawalykut
AlmqvistWilliam,298,Almqvist,William,SWE,,,84585,9500159,3 / (4),136.68,Almqvist
TarakanovIgor,299,Tarakanov,Igor,RUS,,,97662,,3 / (7),136.39,Tarakanov
BoschAnthon,300,Bosch,Anthon,RSA,24,4/16/96 0:00,84589,9500128,3 / (6),135.28,Bosch
LeleuMartin,301,Leleu,Martin,FRA,,,98129,9190535,3 / (6),135.25,Leleu
Mork DanielsenJonas,302,Mork Danielsen,Jonas,NOR,,,98372,,3 / (4),134.68,Mork Danielsen
PrenticeRaymond,303,Prentice,Raymond,GBR,,,92571,9220102,3 / (3),134.68,Prentice
DibbenJace,304,Dibben,Jace,CAN,19,1/1/01 0:00,92677,9101142,3 / (3),134.47,Dibben
KuharOzbe,305,Kuhar,Ozbe,SLO,,,96454,9560220,3 / (3),134.18,Kuhar
ToledoAntoni,306,Toledo,Antoni,ESP,,,97866,9490230,3 / (10),133.54,Toledo
MortensonJared,307,Mortenson,Jared,USA,,,98026,,3 / (6),133.52,Mortenson
GrassisMarcello,308,Grassis,Marcello,ITA,,,92589,,3 / (5),132.61,Grassis
JuSikyung,309,Ju,Sikyung,KOR,,,97863,9320200,3 / (7),132.37,Ju
GoebelEthen,310,Goebel,Ethen,USA,,,96977,,3 / (3),132.36,Goebel
ValjusAntti,311,Valjus,Antti,FIN,,,93252,9180191,2 / (2),131.57,Valjus
FrischhutPaul,312,Frischhut,Paul,AUT,,,95051,,3 / (6),131.43,Frischhut
FasolaManuel,313,Fasola,Manuel,ARG,,,99139,9030146,3 / (7),131.06,Fasola
KronlundStian,314,Kronlund,Stian,NOR,18,12/25/01 0:00,93191,,3 / (4),130.72,Kronlund
Svendsen TessanJakob,315,Svendsen Tessan,Jakob,NOR,,,100519,,2 / (2),130.64,Svendsen Tessan
SukkeNiklas,316,Sukke,Niklas,NOR,,,99329,,3 / (5),129.99,Sukke
CoyneJack,317,Coyne,Jack,USA,18,1/17/02 0:00,90779,9531302,2 / (2),129.79,Coyne
DeutingerMaximilian,318,Deutinger,Maximilian,AUT,,,89417,9050261,3 / (8),129.44,Deutinger
FornesAnders,319,Fornes,Anders,NOR,,,94625,9420167,3 / (4),129.03,Fornes
AyoubiHudson,320,Ayoubi,Hudson,AUS,,,90538,,3 / (4),128.81,Ayoubi
WikohikaTui,321,Wikohika,Tui,NZL,,,97617,,3 / (4),128.74,Wikohika
KawashitaJumpei,322,Kawashita,Jumpei,JPN,,,96854,9300964,3 / (4),128.4,Kawashita
MoutonBoris,323,Mouton,Boris,SUI,23,1/24/97 0:00,81608,9190362,2 / (2),128.29,Mouton
KimGyeonguk,324,Kim,Gyeonguk,KOR,19,2/8/01 0:00,93169,,3 / (9),127.37,Kim
KolarevicJanko,325,Kolarevic,Janko,SRB,23,9/6/97 0:00,91808,9310008,3 / (9),127.17,Kolarevic
D'AstousCharles-Eric,326,D'Astous,Charles-Eric,CAN,16,12/29/03 0:00,97042,,3 / (3),127.07,D'Astous
GeorgeQuentin,327,George,Quentin,CAN,18,4/26/02 0:00,94065,9100975,3 / (5),126.81,George
MartinKade,328,Martin,Kade,USA,,,96973,,3 / (8),126.71,Martin
BurnsHenry,329,Burns,Henry,CAN,,,96253,9101131,3 / (4),126.17,Burns
ReicherFelix,330,Reicher,Felix,AUT,,,89421,9050277,3 / (5),126,Reicher
HuuhtanenJuhani,331,Huuhtanen,Juhani,FIN,,,93238,,3 / (4),125.85,Huuhtanen
Hovde PettersenAdrian,332,Hovde Pettersen,Adrian,NOR,,,94745,,3 / (3),125.54,Hovde Pettersen
GyosharkovPetar,333,Gyosharkov,Petar,BUL,24,6/29/96 0:00,88296,9090090,3 / (3),125.51,Gyosharkov
CielenJoshua,334,Cielen,Joshua,CAN,,,97719,,3 / (3),125.43,Cielen
PetitNoe,335,Petit,Noe,FRA,,,97878,9190518,3 / (5),124.89,Petit
CachatJuan,336,Cachat,Juan,FRA,20,5/9/00 0:00,91285,9190452,3 / (3),124.59,Cachat
PollBart,337,Poll,Bart,NED,,,99058,9400101,3 / (8),124.3,Poll
BuchelBen,338,Buchel,Ben,CAN,,,99934,,3 / (4),124.15,Buchel
HietikkoJere,339,Hietikko,Jere,FIN,,,93960,,3 / (4),123.85,Hietikko
OESTRENGAleksander,340,OESTRENG,Aleksander,NOR,29,4/5/91 0:00,72657,9420076,1 / (1),123.27,OESTRENG
HendriksLucas,341,Hendriks,Lucas,NED,,,99227,,3 / (4),123.04,Hendriks
BoudjelalYannick,342,Boudjelal,Yannick,DZA,35,9/15/85 0:00,74281,9190018,3 / (5),122.43,Boudjelal
RollBo,343,Roll,Bo,NOR,,,98270,,3 / (5),122.31,Roll
MattssonNiklas,344,Mattsson,Niklas,SWE,28,3/16/92 0:00,78135,9500081,3 / (3),122.15,Mattsson
HeflinBodie,345,Heflin,Bodie,USA,,,96944,,3 / (6),121.34,Heflin
FreyEmil,346,Frey,Emil,GER,,,98658,,3 / (8),121.25,Frey
VenderotteTom,347,Venderotte,Tom,FRA,19,7/25/01 0:00,95769,9190453,3 / (4),121.14,Venderotte
SalacKristian,348,Salac,Kristian,CZE,,,86901,9150216,3 / (5),121,Salac
ShamboGrant,349,Shambo,Grant,USA,,,84582,9531248,3 / (4),120.93,Shambo
HensoldNanno,350,Hensold,Nanno,GER,,,97272,,3 / (4),120.9,Hensold
MorenoValentin,351,Moreno,Valentin,ARG,,,94369,9030115,3 / (8),120.76,Moreno
EckertLuis,352,Eckert,Luis,GER,24,8/5/96 0:00,80749,9200104,2 / (2),120.72,Eckert
GiffordMorris,353,Gifford,Morris,USA,,,98907,,3 / (5),120.15,Gifford
HeWei,354,He,Wei,CHN,,,99703,,2 / (2),119.96,He
HuberNiklas,355,Huber,Niklas,GER,16,4/17/04 0:00,92995,9200181,3 / (3),119.93,Huber
MarchielCorben,356,Marchiel,Corben,CAN,,,95549,,3 / (5),119.4,Marchiel
MacAulaySpencer,357,MacAulay,Spencer,CAN,,,96170,9101034,3 / (5),119.34,MacAulay
FoxNick,358,Fox,Nick,USA,,,98948,,3 / (4),118.24,Fox
SigelGus,359,Sigel,Gus,USA,,,98708,,3 / (6),118.21,Sigel
CarrKyle,360,Carr,Kyle,CAN,,,96217,9101047,3 / (3),118.19,Carr
KellyConnor,361,Kelly,Connor,CAN,,,100846,,2 / (2),117.54,Kelly
LeeHyun-Jun,362,Lee,Hyun-Jun,KOR,,,95239,9320181,2 / (2),117.32,Lee
ChemodurovYuriy,363,Chemodurov,Yuriy,RUS,30,6/8/90 0:00,88146,9480461,3 / (3),117.29,Chemodurov
MinamiyaHanato,364,Minamiya,Hanato,JPN,,,98219,,3 / (3),116.81,Minamiya
CeronDiego,365,Ceron,Diego,CHI,27,7/11/93 0:00,80063,9110009,3 / (5),116.72,Ceron
BieleGian Andrin,366,Biele,Gian Andrin,SUI,17,6/20/03 0:00,88788,9510455,3 / (3),116.55,Biele
SakaueHinata,367,Sakaue,Hinata,JPN,,,97914,,3 / (3),116.49,Sakaue
FejglSamuel,368,Fejgl,Samuel,CZE,,,99071,,3 / (4),115.36,Fejgl
LiuHaoyu,369,Liu,Haoyu,CHN,,,100179,9120057,2 / (2),115.24,Liu
GrayCharles,370,Gray,Charles,USA,,,97749,9531416,3 / (6),115.18,Gray
BulatStephan,371,Bulat,Stephan,CAN,,,99015,,3 / (7),115,Bulat
BaskakovIlia,372,Baskakov,Ilia,RUS,,,93422,9480640,3 / (3),114.83,Baskakov
ZaczykMacIej,373,Zaczyk,MacIej,POL,,,101029,,3 / (3),114.15,Zaczyk
NeyOscar,374,Ney,Oscar,FRA,,,91233,9190471,3 / (5),113.86,Ney
SchieleDonovan,375,Schiele,Donovan,CAN,,,96693,9101170,3 / (5),113.23,Schiele
HorkyVojtech,376,Horky,Vojtech,CZE,,,99067,,3 / (5),112.61,Horky
PatronenRoope,377,Patronen,Roope,FIN,,,93244,,2 / (2),111.92,Patronen
IshidaEito,378,Ishida,Eito,JPN,,,96842,9300874,3 / (3),111.69,Ishida
MuranakaKosuke,379,Muranaka,Kosuke,JPN,,,98296,9300855,3 / (3),111.57,Muranaka
AllenJeremy,380,Allen,Jeremy,CAN,18,1/8/02 0:00,92164,9101022,3 / (5),110.87,Allen
TeimurovMark,381,Teimurov,Mark,RUS,23,6/11/97 0:00,76906,9480585,2 / (2),110.57,Teimurov
KikasMarten,382,Kikas,Marten,EST,,,89800,9390005,3 / (3),109.82,Kikas
LayzellChase,383,Layzell,Chase,CAN,19,11/7/01 0:00,92549,9100899,3 / (5),109.46,Layzell
WatsonNoah,384,Watson,Noah,CAN,,,92208,,3 / (4),109.45,Watson
Berdal HolmJonas,385,Berdal Holm,Jonas,NOR,,,94621,,3 / (4),109.33,Berdal Holm
KropovVolodymyr,386,Kropov,Volodymyr,UKR,,,99802,,3 / (3),109.26,Kropov
VirsunenJuho,387,Virsunen,Juho,FIN,,,96440,,2 / (2),109.13,Virsunen
SteeleSunny,388,Steele,Sunny,AUS,17,10/14/03 0:00,96007,9040280,3 / (5),108.94,Steele
Granli-SommerudAndreas,389,Granli-Sommerud,Andreas,NOR,,,98271,,3 / (6),108.63,Granli-Sommerud
ROBERTSON-HAHNJoshua,390,ROBERTSON-HAHN,Joshua,AUS,,,94284,9040292,3 / (4),108.58,ROBERTSON-HAHN
SallerasNarcis,391,Salleras,Narcis,ESP,,,99186,9490238,3 / (5),107.56,Salleras
WonYoungkyo,392,Won,Youngkyo,KOR,,,95230,9320180,3 / (6),107.19,Won
BrownNayte,393,Brown,Nayte,CAN,,,99362,,3 / (6),106.66,Brown
JablonskiMax,394,Jablonski,Max,CAN,,,97944,,3 / (5),106.58,Jablonski
MostovoiKonstantin,395,Mostovoi,Konstantin,RUS,,,100243,9480794,2 / (2),106.39,Mostovoi
KervinenNooa,396,Kervinen,Nooa,FIN,,,94160,9180193,3 / (5),106.08,Kervinen
HlynssonReynar,397,Hlynsson,Reynar,ISL,,,95750,,3 / (3),105.75,Hlynsson
McCorristerMaddox,398,McCorrister,Maddox,CAN,,,100478,,3 / (4),105.66,McCorrister
LaneCharlie,399,Lane,Charlie,GBR,,,94806,,3 / (5),105.36,Lane
GaoXuesong,400,Gao,Xuesong,CHN,,,100092,9120058,3 / (3),105.32,Gao
EckertColtan,401,Eckert,Coltan,CAN,17,10/6/03 0:00,94849,,3 / (5),105.23,Eckert
MukaiKaito,402,Mukai,Kaito,JPN,,,95180,,3 / (4),104.52,Mukai
PentecoteEliot,402,Pentecote,Eliot,FRA,,,91231,9190469,3 / (4),104.52,Pentecote
UeharaTakuya,404,Uehara,Takuya,JPN,29,3/28/91 0:00,95026,9300846,3 / (3),104.19,Uehara
PothierXavier,405,Pothier,Xavier,CAN,,,100845,,2 / (2),102.98,Pothier
HiraiRiku,406,Hirai,Riku,JPN,,,98174,9300875,3 / (3),102.35,Hirai
PeetersLorenzo,407,Peeters,Lorenzo,BEL,,,83408,9060014,1 / (1),102.07,Peeters
NetlandWalker,408,Netland,Walker,USA,,,98917,,3 / (8),101.91,Netland
KamissekLuka,409,Kamissek,Luka,GER,,,98648,,3 / (8),101.65,Kamissek
ZankaRoman,410,Zanka,Roman,CZE,,,92705,9150218,3 / (5),101.32,Zanka
LotzPeter,411,Lotz,Peter,GER,,,98008,,3 / (4),101.3,Lotz
NedielkaTadeas,412,Nedielka,Tadeas,SVK,,,99235,,3 / (3),101.23,Nedielka
HaugThorbjorn,413,Haug,Thorbjorn,NOR,,,99325,,3 / (5),101.02,Haug
OkajimaDaia,414,Okajima,Daia,JPN,,,96714,9300969,3 / (4),100.96,Okajima
MatenaTimon,415,Matena,Timon,CZE,,,100805,,3 / (3),100.39,Matena
HarrisonTyler,416,Harrison,Tyler,CAN,,,99415,,3 / (5),100.2,Harrison
FredlundFredrik,417,Fredlund,Fredrik,SWE,,,89888,9500139,1 / (1),100,Fredlund
TurpeinenTuomas,418,Turpeinen,Tuomas,FIN,,,96431,,3 / (4),99.95,Turpeinen
SeoGyeong,419,Seo,Gyeong,KOR,,,96474,9320182,3 / (3),99.59,Seo
DovjakEric,420,Dovjak,Eric,AUT,,,93595,,3 / (4),99.47,Dovjak
HunterColin,421,Hunter,Colin,CAN,,,98463,,3 / (6),99.39,Hunter
SkhvedianiJaba,422,Skhvediani,Jaba,GEO,,,96157,9680004,3 / (5),98.9,Skhvediani
RogersMac,423,Rogers,Mac,NZL,,,97610,,3 / (4),97.93,Rogers
FalhaberBart,424,Falhaber,Bart,NED,,,77585,9400087,2 / (2),97.82,Falhaber
HafsahlStorm,425,Hafsahl,Storm,NOR,,,97096,,3 / (4),97.59,Hafsahl
PartanenAatu,426,Partanen,Aatu,FIN,,,93237,9180192,3 / (3),97.56,Partanen
JohanssonBorgthor Omar,427,Johansson,Borgthor Omar,ISL,,,96991,,3 / (3),96.97,Johansson
SuttonAlfred,428,Sutton,Alfred,FRA,,,97381,,3 / (4),96.47,Sutton
SchweizerMika,429,Schweizer,Mika,GER,12,12/5/07 0:00,94703,,3 / (6),96.45,Schweizer
InokuchiWayu,430,Inokuchi,Wayu,JPN,,,100828,,2 / (2),96.17,Inokuchi
ZhangJiahao,431,Zhang,Jiahao,CHN,,,90959,1124972,3 / (3),95.97,Zhang
CaversGeorge,432,Cavers,George,USA,,,100707,,3 / (5),95.59,Cavers
KimSang-Jae,433,Kim,Sang-Jae,KOR,,,99260,,3 / (4),95.29,Kim
HoeksemaSteven,434,Hoeksema,Steven,CAN,,,99411,,3 / (5),94.95,Hoeksema
JoensuuTopias,435,Joensuu,Topias,FIN,,,96438,,3 / (4),94.71,Joensuu
Sundsvold BjonnessEmil,435,Sundsvold Bjonness,Emil,NOR,,,99639,,3 / (3),94.71,Sundsvold Bjonness
YangWenlong,437,Yang,Wenlong,CHN,,,96913,1124981,3 / (3),94.64,Yang
KallosAnderson,438,Kallos,Anderson,CAN,,,99868,,3 / (5),94.6,Kallos
SteedJackson,439,Steed,Jackson,CAN,,,96312,,3 / (5),94.59,Steed
MuhonenAnton,440,Muhonen,Anton,SWE,,,94027,9500164,1 / (1),94.03,Muhonen
BatchelorZachary,441,Batchelor,Zachary,CAN,,,99836,,3 / (3),93.93,Batchelor
TuckerRio,442,Tucker,Rio,CAN,,,96686,9101174,3 / (4),93.88,Tucker
JingujiKaito,443,Jinguji,Kaito,JPN,,,91697,9300766,1 / (1),93.87,Jinguji
KleivdalMorten,444,Kleivdal,Morten,NOR,29,3/13/91 0:00,71775,9420061,2 / (2),93.85,Kleivdal
ChristensenChristian,445,Christensen,Christian,NOR,,,62936,,2 / (2),93.11,Christensen
SaitoYuto,446,Saito,Yuto,JPN,,,96929,,3 / (5),92.36,Saito
SitziaLeonardo,447,Sitzia,Leonardo,GER,,,91351,,2 / (2),92.3,Sitzia
TekslePetter,448,Teksle,Petter,NOR,,,96873,,3 / (4),91.99,Teksle
ZverinaPetr,449,Zverina,Petr,CZE,,,94191,,3 / (3),91.29,Zverina
JedrejJoseph,450,Jedrej,Joseph,CAN,,,97027,,3 / (5),91.1,Jedrej
AlexisGenest,451,Alexis,Genest,CAN,,,96645,,3 / (6),91.06,Alexis
MontalvoBlake,452,Montalvo,Blake,CAN,,,99418,,3 / (5),90.87,Montalvo
DuncanRoahan,453,Duncan,Roahan,GBR,,,99965,,3 / (5),90.64,Duncan
VeraDante,454,Vera,Dante,ARG,,,96045,9030109,3 / (7),90.18,Vera
OkiFuki,455,Oki,Fuki,JPN,,,99675,,3 / (5),90.11,Oki
MalcolmGeorge,456,Malcolm,George,CAN,,,94673,9100976,3 / (5),89.97,Malcolm
ParkinsonJesse,456,Parkinson,Jesse,AUS,15,6/28/05 0:00,94288,9040298,3 / (3),89.97,Parkinson
De BaetsRune,458,De Baets,Rune,BEL,,,99218,,3 / (4),89.85,De Baets
BerghornGavin,459,Berghorn,Gavin,USA,,,98793,,3 / (3),88.76,Berghorn
BridgmanNicholas,460,Bridgman,Nicholas,ITA,27,8/24/93 0:00,78696,9290210,1 / (1),88.47,Bridgman
AxelssonFelix,461,Axelsson,Felix,SWE,,,84595,,3 / (4),88.23,Axelsson
PareNathan,462,Pare,Nathan,USA,,,98947,,3 / (4),88.18,Pare
DelaurierTyson,463,Delaurier,Tyson,CAN,,,99399,,2 / (2),87.85,Delaurier
Rawdon-HarrisEthan,464,Rawdon-Harris,Ethan,CAN,,,97958,,3 / (4),87.31,Rawdon-Harris
ScanlandCyrus,465,Scanland,Cyrus,CAN,,,97946,,3 / (5),87.17,Scanland
HaefligerLars,466,Haefliger,Lars,SUI,,,97424,,3 / (4),87.12,Haefliger
JustinPerron,467,Justin,Perron,CAN,,,96642,,3 / (3),87.08,Justin
HenricksenDillon,468,Henricksen,Dillon,USA,,,97762,9531498,2 / (2),86.99,Henricksen
TomanVaclav,469,Toman,Vaclav,CZE,17,2/6/03 0:00,94193,9150226,3 / (4),86.19,Toman
SchwierschLeonhard,470,Schwiersch,Leonhard,GER,,,82231,,2 / (2),85.26,Schwiersch
KreienbuehlGabriel Tim,471,Kreienbuehl,Gabriel Tim,SUI,,,91077,,2 / (2),85.1,Kreienbuehl
MukaiTakeru,472,Mukai,Takeru,JPN,,,95175,9300966,3 / (4),84.71,Mukai
AlkefjaerdDaniel,473,Alkefjaerd,Daniel,SWE,23,7/13/97 0:00,89248,9500140,3 / (4),84.65,Alkefjaerd
LaineJuho,474,Laine,Juho,FIN,,,93963,,2 / (2),84.44,Laine
ZabelaSiarhei,475,Zabela,Siarhei,BLR,,,100833,,1 / (1),84.16,Zabela
VargdalSigurd,476,Vargdal,Sigurd,NOR,,,95251,9420162,2 / (2),84.11,Vargdal
Foord-KelceyJames,477,Foord-Kelcey,James,CAN,,,99440,,3 / (3),83.79,Foord-Kelcey
HicksKieran,478,Hicks,Kieran,CAN,10,3/7/10 0:00,96562,,3 / (5),83.79,Hicks
ToddConnor,479,Todd,Connor,CAN,,,94850,9101214,3 / (4),83.7,Todd
MacZugowskiJedrzej,480,MacZugowski,Jedrzej,POL,,,99565,,3 / (4),83.38,MacZugowski
Ulseth SylteVegard,481,Ulseth Sylte,Vegard,NOR,,,100615,,3 / (3),83.36,Ulseth Sylte
MacIsaacJordan,482,MacIsaac,Jordan,CAN,,,97955,,3 / (3),83.23,MacIsaac
WarrenBo,483,Warren,Bo,USA,23,3/10/97 0:00,82094,9530960,1 / (1),82.96,Warren
HannibalLinus,484,Hannibal,Linus,GER,,,98657,,3 / (4),82.56,Hannibal
DepriestBrooklyn,485,Depriest,Brooklyn,USA,14,2/21/06 0:00,96997,,3 / (5),82.24,Depriest
FujiwaraYuki,486,Fujiwara,Yuki,JPN,,,98170,,3 / (4),82.09,Fujiwara
BarinCesar,487,Barin,Cesar,FRA,,,94634,9190550,3 / (3),82.06,Barin
GirottoCesare Emanuele,488,Girotto,Cesare Emanuele,ITA,,,93543,9290351,2 / (2),81.91,Girotto
NickelJacob,489,Nickel,Jacob,CAN,,,97223,,3 / (3),81.85,Nickel
KrallTimo,490,Krall,Timo,AUT,,,94626,9050280,3 / (5),81.72,Krall
EldoodKamal,491,Eldood,Kamal,CAN,,,97960,,2 / (2),81.37,Eldood
SoicMauro,492,Soic,Mauro,CRO,,,100045,,3 / (7),80.98,Soic
Plur De La RosaJoao,493,Plur De La Rosa,Joao,GER,10,12/15/09 0:00,96339,,3 / (6),80.69,Plur De La Rosa
Mikalsen OstbySimon,494,Mikalsen Ostby,Simon,NOR,,,97886,,2 / (2),80.63,Mikalsen Ostby
ChenMaxson,495,Chen,Maxson,AUS,,,92310,9040299,3 / (4),80.36,Chen
BuraudJules,496,Buraud,Jules,FRA,,,97374,9190516,3 / (3),79.85,Buraud
GolinczakJan,497,Golinczak,Jan,POL,13,6/29/07 0:00,98416,,3 / (4),79.82,Golinczak
HamiltonMason,498,Hamilton,Mason,CAN,,,96577,9101147,3 / (4),79.62,Hamilton
ErnstWyatt,499,Ernst,Wyatt,CAN,,,94655,9101135,3 / (7),79.51,Ernst
MageeChris,500,Magee,Chris,USA,,,98251,9531455,2 / (2),78.83,Magee
LebedevMaxim,501,Lebedev,Maxim,CZE,,,99222,,3 / (4),78.8,Lebedev
OstapovichKale,502,Ostapovich,Kale,CAN,,,96219,9100978,2 / (2),78.77,Ostapovich
JovicTodor,503,Jovic,Todor,SRB,,,97316,9310012,3 / (5),78.4,Jovic
KellyConnor,504,Kelly,Connor,USA,,,85884,,2 / (2),78.39,Kelly
Melville IvesCam,505,Melville Ives,Cam,NZL,,,99105,,3 / (3),78.05,Melville Ives
KaroliussenPetter,506,Karoliussen,Petter,NOR,,,97692,,3 / (3),77.97,Karoliussen
InmanEthan,507,Inman,Ethan,CAN,,,97989,,3 / (3),77.91,Inman
KroellJonas,508,Kroell,Jonas,AUT,,,97873,,3 / (5),77.69,Kroell
PizarroPedro,509,Pizarro,Pedro,CHI,,,100186,9110035,3 / (5),77.62,Pizarro
YonemuraToranosuke,510,Yonemura,Toranosuke,JPN,,,95306,,3 / (4),77.34,Yonemura
LemkeDerek,511,Lemke,Derek,USA,,,84103,9531335,1 / (1),77.15,Lemke
RustadMarkus,512,Rustad,Markus,NOR,24,9/16/96 0:00,91249,9420151,1 / (1),77.02,Rustad
PfrommerPaul,513,Pfrommer,Paul,GER,,,100793,,2 / (2),76.95,Pfrommer
ArgueChase,514,Argue,Chase,CAN,,,99356,,3 / (5),76.93,Argue
PajerMikolas,515,Pajer,Mikolas,CZE,23,10/10/97 0:00,76955,9150133,3 / (3),76.81,Pajer
KarahasanovicAmar,516,Karahasanovic,Amar,BIH,,,90412,9710006,3 / (6),76.5,Karahasanovic
KimHyobin,517,Kim,Hyobin,KOR,,,99344,,3 / (3),76.38,Kim
WilsonIndiana,518,Wilson,Indiana,CAN,,,97226,,2 / (2),76.23,Wilson
KaeminghCarter,519,Kaemingh,Carter,CAN,,,99404,,3 / (5),76.08,Kaemingh
JukolaVille,520,Jukola,Ville,FIN,,,97144,,2 / (2),75.88,Jukola
BillietNiels,521,Billiet,Niels,BEL,,,99219,,3 / (3),75.55,Billiet
AhonenSamu,522,Ahonen,Samu,FIN,,,96550,,2 / (2),75.44,Ahonen
YoshidaTeruki,523,Yoshida,Teruki,JPN,,,99680,,2 / (2),75.41,Yoshida
Dale NyqvistAlexander,524,Dale Nyqvist,Alexander,NOR,,,100438,,3 / (4),75.08,Dale Nyqvist
BrandsoyJalen,525,Brandsoy,Jalen,USA,,,98965,,3 / (3),74.16,Brandsoy
MooreLewis,526,Moore,Lewis,GBR,,,99561,,1 / (1),74.05,Moore
BenderMaximilian,527,Bender,Maximilian,GER,,,100451,,3 / (4),73.75,Bender
ArasonBirkir Thor,528,Arason,Birkir Thor,ISL,,,97456,9250017,2 / (2),73.73,Arason
SteffensenLasse,529,Steffensen,Lasse,NOR,,,93760,,3 / (6),73.48,Steffensen
DeribanKarlo,530,Deriban,Karlo,MKD,,,100622,,3 / (4),73.47,Deriban
GietzlerHarald,531,Gietzler,Harald,AUT,,,90296,,3 / (3),73.4,Gietzler
PaulicekDaniel,532,Paulicek,Daniel,CZE,27,5/15/93 0:00,72910,9150054,2 / (2),73.26,Paulicek
OzturkEdis,533,Ozturk,Edis,BIH,,,97075,9710011,3 / (7),72.52,Ozturk
SchieleTate,534,Schiele,Tate,CAN,,,97290,9101171,2 / (2),72.52,Schiele
