riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter, nationality_full  
Redmond Gerard, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, United States, , , , 
Leonardo Cerato, 585, 60.94, , , AUT, , , , , , , , Austria, , , , 
Aidan Mahoney, 586, 60.89, , , USA, , , , , , , , United States, , , , 
Evan Hunter, 587, 60.83, , , CAN, , , , , , , , Canada, , , , 
Keegan Hosefros, 588, 60.75, Dragon | Ride Snowboards | , 21, USA, Regular, 135, Truckee, Sugarbush| Vermont, , Keegan Hosefros, , United States, , , , 
Honorio Le Fur, 589, 60.73, , , FRA, , , , , , , , France, , , , 
Tenshin Nishizawa, 590, 60.47, , , JPN, , , , , , , , Japan, , , , 
Tomas Arnason, 591, 60.19, , , ISL, , , , , , , , Iceland, , , , 
Fin Bremner, 592, 59.94,  | , 21, GBR, Goofy, 5ft 9, Aberdeen, Cairngorm Mountains| Scotland, www.finbremner.com, , www.twitter.com/finbremner, United Kingdom, , , , 
Nikita Avtaneev, 593, 59.82, Burton Snowboards | , 25, RUS, Goofy, , , , , , , Russian Federation, , , , 
Niko Pavlakos, 594, 59.7, , , CAN, , , , , , , , Canada, , , , 
Cole Silverthorn, 595, 59.68, , 17, CAN, Goofy, , , , , , , Canada, , , , 
Matt McCarthy, 596, 59.62, , , CAN, , , , , , , , Canada, , , , 
Josh Shegelman, 597, 59.54, , , CAN, , , , , , , , Canada, , , , 
Finlay Buttle, 598, 59.37, , , GBR, , , , , , , , United Kingdom, , , , 
Ryoma Saito, 599, 59.19, , , JPN, , , , , , , , Japan, , , , 
Lotz Peter, 600, 59.1, , , GER, , , , , , , , Germany, , , , 
Uladzislau Andrasovich, 601, 59.08, , , BLR, , , , , , , , Belarus, , , , 
Martin Jozsa, 602, 59.01, , , SVK, , , , , , , , Slovakia, , , , 
Bailey Seymour, 603, 58.93, , 18, CAN, , , , , , , , Canada, , , , 
Olle Hed, 604, 58.88, , , SWE, , , , , , , , Sweden, , , , 
Gage Selzler, 605, 58.83, , , CAN, , , , , , , , Canada, , , , 
Lys Fedorowycz, 606, 58.69, , , USA, , , , , , , , United States, , , , 
Arnor Dagur Thoroddsson, 607, 58.68, , , ISL, , , , , , , , Iceland, , , , 
Dayton Jones, 608, 58.66, , , CAN, , , , , , , , Canada, , , , 
Aron Snorri Davidsson, 609, 58.61, , , ISL, , , , , , , , Iceland, , , , 
Romain Allemand, 610, 58.52, , , FRA, , , , , , , , France, , , , 
Zak Baikie, 611, 58.38, , , NZL, , , , , , , , New Zealand, , , , 
Ole Christian Hagen, 612, 57.77, DC | Von Zipper | , 25, NOR, Regular, 175 cm, Kongsberg, Kongsberg, , , , Norway, , , , 
Phillip Hernler, 613, 57.64, , , AUT, , , , , , , , Austria, , , , 
Campbell Melville Ives, 614, 57.59, , , NZL, , , , , , , , New Zealand, , , , 
Connor George, 615, 57.56, , , CAN, , , , , , , , Canada, , , , 
Gabriel Sequeira, 616, 57.52, , , CAN, , , , , , , , Canada, , , , 
Liam Tynan, 617, 57.48, , , GBR, , , , , , , , United Kingdom, , , , 
Aris Kyriazis, 618, 57.34, , , GER, , , , , , , , Germany, , , , 
Ryder Bollock, 619, 56.81, , , USA, , , , , , , , United States, , , , 
Nagisa Fukada, 620, 56.72, , , JPN, , , , , , , , Japan, , , , 
London Albrecht, 621, 56.63, , , USA, , , , , , , , United States, , , , 
Philip Landmark, 622, 56.63, 32 Snowboard Boots | Gnu | Icon Snowboards | , 28, SWE, Regular, , Leksand, , , , , Sweden, , , , 
Tino Stojak, 623, 56.46, , , CRO, , , , , , , , CRO, , , , 
Kaleb Woodworth, 624, 56.02, , , CAN, , , , , , , , Canada, , , , 
Garrett Henderson, 625, 55.61, , , USA, , , , , , , , United States, , , , 
Neko Reimer, 626, 55.55, , , CAN, , , , , , , , Canada, , , , 
Jake Niwa, 627, 55.54, , , CAN, , , , , , , , Canada, , , , 
Noah Brown, 628, 55.54, , , USA, , , , , , , , United States, , , , 
Adam Djunaedi, 629, 55.43, , , CAN, , , , , , , , Canada, , , , 
Jonathan Loor Kutmon, 630, 55.33, , , AUT, , , , , , , , Austria, , , , 
Daniel Volopich, 631, 55.23, , , CZE, , , , , , , , Czech Republic, , , , 
Sam Smits, 632, 55.11, , , CAN, , , , , , , , NED, , , , 
Nicky Deltrap, 633, 54.94, , , NED, , , , , , , , NED, , , , 
Shuhei Kiyomizu, 634, 54.84, , , JPN, , , , , , , , Japan, , , , 
Kota Iwasaki, 635, 54.76, , , JPN, , , , , , , , Japan, , , , 
Yuuma Ogawa, 636, 54.6, , 29, JPN, Regular, 169, Yokohama, hotakabokujyou skiing area, , , , Japan, , , , 
Jesse Willemsen, 637, 54.49, , , NED, , , , , , , , NED, , , , 
Mitchell Krogt  Van Der, 638, 54.22, , , NED, , , , , , , , NED, , , , 
Shu Tomabechi, 639, 54.19, , , JPN, , , , , , , , Japan, , , , 
Konrad Sonne, 640, 54.12, , , AUT, , , , , , , , Austria, , , , 
Felipe Banados, 641, 53.77, , , CHI, , , , , , , , CHI, , , , 
Yuki Ito, 642, 53.74, , , JPN, , , , , , , , Japan, , , , 
Mihail Minkov, 643, 53.35, , 16, BUL, , , , , , , , BUL, , , , 
Haavard Kongshem, 644, 52.97, , , NOR, , , , , , , , Norway, , , , 
Jonas Hasler, 645, 52.82, , , SUI, , , , , , , , Switzerland, , , , 
Colton McHatten, 646, 52.63, , , CAN, , , , , , , , Canada, , , , 
Matyas Skandera, 647, 52.6, , , CZE, , , , , , , , Czech Republic, , , , 
Darek Bergmann, 648, 52.41,  | , 29, CZE, Regular, , Príchovice, , , , , Czech Republic, , , , 
Marko Petrovski, 649, 52.23, , , MKD, , , , , , , , Macedonia, The Former Yugoslav Republic of, , , , 
Tim Gustavsson, 650, 51.53, , , NOR, , , , , , , , Norway, , , , 
Facundo Catriel Mendolia, 651, 51.38, , , ARG, , , , , , , , Argentina, , , , 
Trey Montalvo, 652, 51.3, , , CAN, , , , , , , , Canada, , , , 
Esteeban Luengo, 653, 51.07, , , ARG, , , , , , , , Argentina, , , , 
Cornelia Carlund, 654, 51.05, , , SWE, , , , , , , , Sweden, , , , 
Sora Ozahata, 655, 51.03, , , JPN, , , , , , , , Japan, , , , 
Bjorn Johan Jenssen, 656, 50.95, , , NOR, , , , , , , , Norway, , , , 
Dexter Heninger, 657, 50.67, , , CAN, , , , , , , , Canada, , , , 
Skirnir Dadi Arnarsson, 658, 50.46, , , ISL, , , , , , , , Iceland, , , , 
Barack Davidson, 659, 50.41, , , CAN, , , , , , , , Canada, , , , 
Raphaelê Bauer, 660, 50.39, , , FRA, , , , , , , , France, , , , 
Jakob Peter, 661, 50.24, , , GER, , , , , , , , Germany, , , , 
Hafsteinn Heimir Odinsson, 662, 50.23, , , ISL, , , , , , , , Iceland, , , , 
Lukas Delago, 663, 50.21, , , GER, , , , , , , , Germany, , , , 
Fran Legac, 664, 50.17, , , CRO, , , , , , , , CRO, , , , 
Jadon Wiffen, 665, 50.09, , , CAN, , , , , , , , Canada, , , , 
Einar Agust Asmundsson, 666, 49.95, , , ISL, , , , , , , , Iceland, , , , 
Petar Obradovic, 667, 49.88, , , SRB, , , , , , , , Serbia, , , , 
Xinjie Jiang, 668, 49.86, , , CHN, , , , , , , , China, , , , 
Linus Angstl, 669, 49.8, , , GER, , , , , , , , Germany, , , , 
Clay Copenhaver, 670, 49.57, , , USA, , , , , , , , United States, , , , 
Aljaz Sladic, 671, 49.57, , , SLO, , , , , , , , SLO, , , , 
Cole Steendam, 672, 49.53, , , CAN, , , , , , , , Canada, , , , 
Edoardo Giovannini, 673, 49.51, , , ITA, , , , , , , , Italy, , , , 
Seongjun Choi, 674, 49.25, , , KOR, , , , , , , , Korea, Republic of, , , , 
Ognjen Radulovic, 675, 49.22, , , SRB, , , , , , , , Serbia, , , , 
Xavier Rodriguez, 676, 49.09, , 25, AND, , , , , , , , Andorra, , , , 
Vladan Grkovic, 677, 48.94, , , SRB, , , , , , , , Serbia, , , , 
Jake Westfall, 678, 48.93, , , USA, , , , , , , , United States, , , , 
Seth Strobel, 679, 48.7, , , CAN, , , , , , , , Canada, , , , 
Kurt Layton, 680, 48.59, , 26, CAN, , , , , , , , Canada, , , , 
Riku Masuda, 680, 48.59, , , JPN, , , , , , , , Japan, , , , 
Kai Sato, 682, 48.52, , , JPN, , , , , , , , Japan, , , , 
Arnar Bjorgvinsson, 683, 48.47, , , ISL, , , , , , , , Iceland, , , , 
Jack Armbruster, 684, 48.26, , , USA, , , , , , , , United States, , , , 
Gonzalo Daniel Baez, 685, 48.13, , , ARG, , , , , , , , Argentina, , , , 
Marcel Tarmann, 686, 48.13, , , AUT, , , , , , , , Austria, , , , 
David Kordiak, 687, 48.12, , 23, SVK, , , , , , , , Slovakia, , , , 
Angelo Gastl, 688, 48.07, , , AUT, , , , , , , , Austria, , , , 
Txema Mazet Brown, 689, 47.73, , , NZL, , , , , , , , New Zealand, , , , 
Yining Hui, 690, 47.72, , , CHN, , , , , , , , China, , , , 
Juuse Komsi, 691, 47.71, , , FIN, , , , , , , , Finland, , , , 
Tommy Osmond, 692, 47.68, , , GBR, , , , , , , , United Kingdom, , , , 
Hayden Holland, 693, 47.54, , , CAN, , , , , , , , Canada, , , , 
Leon Bubic, 694, 47.49, , , CRO, , , , , , , , CRO, , , , 
Niels Valkenborgh, 695, 47.34, , , BEL, , , , , , , , Belgium, , , , 
Marc Fux, 696, 46.98, , , GER, , , , , , , , Germany, , , , 
Asgeir Bjarni Eythorsson, 697, 46.75, , , ISL, , , , , , , , Iceland, , , , 
Gian Sutter, 698, 46.74,  | , 21, SUI, Goofy, 1.80, Pfäffikon, Scuol Switzerland, , , , Switzerland, , , , 
Lennox Koenig, 699, 46.55, , , AUT, , , , , , , , Austria, , , , 
Solomon Wynnyk, 700, 46.44, , , CAN, , , , , , , , Canada, , , , 
Timo Strolz, 701, 46.44, , , SUI, , , , , , , , Switzerland, , , , 
Koy Ernst, 702, 46.35, , , CAN, , , , , , , , Canada, , , , 
Lewis Bunce, 703, 46.27, , , CAN, , , , , , , , Canada, , , , 
Augusto Viscarro, 704, 46.19, , , ARG, , , , , , , , Argentina, , , , 
Elias Haemaelaeinen, 705, 46.06, , , FIN, , , , , , , , Finland, , , , 
Svavar Zoega, 706, 45.91, , , ISL, , , , , , , , Iceland, , , , 
Vladislav Petrov, 707, 45.89, , , RUS, , , , , , , , Russian Federation, , , , 
Toma Shimizu, 708, 45.79, , , JPN, , , , , , , , Japan, , , , 
Ioannis Doumos, 709, 45.71, , , GRE, , , , , , , , GRE, , , , 
Shinpei Asaga, 710, 45.64, Von Zipper | , 30, JPN, Regular, 176cm, , TOKYO, sbn.japaho.com/sbn/blog/shimpei/, , www.twitter.com/shimpei_asaga, Japan, , , , 
Simon Cookshaw, 711, 45.44, , , CAN, , , , , , , , Canada, , , , 
Elias Lehner, 712, 45.13, , , SUI, , , , , , , , Switzerland, , , , 
Philip Farnsworth, 713, 45.12, , , USA, , , , , , , , United States, , , , 
Byung-Yun Lee, 714, 44.98, , , KOR, , , , , , , , Korea, Republic of, , , , 
Landen Matt, 715, 44.6, , , USA, , , , , , , , United States, , , , 
Garik Arutyunov, 716, 44.55, , , BEL, , , , , , , , Belgium, , , , 
Joao Teixeira, 717, 44.54, , , BRA, , , , , , , , Brazil, , , , 
Florian Mueller, 718, 44.54, , , GER, , , , , , , , Germany, , , , 
Kotaro Takahashi, 719, 44.49, , , JPN, , , , , , , , Japan, , , , 
Luke Landreth, 720, 44.42, , , CAN, , , , , , , , Canada, , , , 
Anthony Shelly, 721, 44.3, , , CAN, , , , , , , , Canada, , , , 
Brogan Wysock, 722, 44.14, , , USA, , , , , , , , United States, , , , 
Benjamin Lunde, 723, 44.07, , , NOR, , , , , , , , Norway, , , , 
Maxime Bailly, 724, 43.84, , , FRA, , , , , , , , France, , , , 
Joshua Agnew, 725, 43.61, , , AUS, , , , , , , , Australia, , , , 
Tucker Baribault, 726, 43.18, , , USA, , , , , , , , United States, , , , 
Niko Ahola, 727, 43.16, , , FIN, , , , , , , , Finland, , , , 
Tim Hofberger, 728, 43.13, , , GER, , , , , , , , Germany, , , , 
Malem McDaniel, 729, 43.03, , , USA, , , , , , , , United States, , , , 
Logan Sarsland, 730, 43.01, , , USA, , , , , , , , United States, , , , 
Lenart Maligoj, 731, 42.61, , , SLO, , , , , , , , SLO, , , , 
MacKay Spence, 732, 42.6, , , CAN, , , , , , , , Canada, , , , 
Jordan Rudgley, 733, 42.19, , , NZL, , , , , , , , New Zealand, , , , 
Peder Apelland Svendsen, 734, 41.92, , , NOR, , , , , , , , Norway, , , , 
Lyon Ferrell, 735, 41.92, , , NOR, , , , , , , , Norway, , , , 
Zacharyah Ayyobi, 736, 41.91, , , CAN, , , , , , , , Canada, , , , 
Jacob Miltimore, 737, 41.85, , 17, CAN, , , , , , , , Canada, , , , 
Tim Kurstatscher, 738, 41.7, , , GER, , , , , , , , Germany, , , , 
Stefan Jon Olafsson, 739, 41.48, , , ISL, , , , , , , , Iceland, , , , 
Andrin Knellwolf, 740, 41.4, , , SUI, , , , , , , , Switzerland, , , , 
Nicolo Bondi, 741, 41.34, , , ITA, , , , , , , , Italy, , , , 
John Connolly, 742, 41.34, , , USA, , , , , , , , United States, , , , 
Benjamin Parich, 743, 41.17, , , AUT, , , , , , , , Austria, , , , 
Davin Fuchs, 744, 41.13, , , AUT, , , , , , , , Austria, , , , 
Martin Visser, 745, 40.9, , , CAN, , , , , , , , Canada, , , , 
David Stock, 746, 40.88, , , AUT, , , , , , , , Austria, , , , 
Liwen Wang, 747, 40.67, , , CHN, , , , , , , , China, , , , 
Ben Wheeler, 748, 39.94, , , CAN, , , , , , , , Canada, , , , 
Hayden Havery Smith, 749, 39.72, , , GBR, , , , , , , , United Kingdom, , , , 
Jonas Krauer, 750, 39.7, , , CZE, , , , , , , , Czech Republic, , , , 
Yuto Tsurusawa, 0, , , , JPN, , , , , , , , , , , , 
Longen Qin, 0, , , , CHN, , , , , , , , , , , , 
Patrick Gruber, 0, , Smith | Voelkl | , , AUT, , , , , , , , , , , , 
Dmytro Luchkin, 0, , , , UKR, , , , , , , , , , , , 
Liam Seljenes, 0, , , , NOR, , , , , , , , , , , , 
Noah Shaw, 0, , , , CAN, , , , , , , , , , , , 
Max Wood, 0, , , , CAN, , , , , , , , , , , , 
Gabriele Cavallo, 0, , , , ITA, , , , , , , , , , , , 
Federico Olivieri, 0, , , , ITA, , , , , , , , , , , , 
Kaden Kelly, 0, , , , USA, , , , , , , , , , , , 
Bjarki Freyr Olafsson, 0, , , , ISL, , , , , , , , , , , , 
Tomoyoshi Nojiri, 0, , , , JPN, , , , , , , , , , , , 
Ward Van Tittelboom, 0, , , , BEL, , , , , , , , , , , , 
Luis Marchesi, 0, , , , SUI, , , , , , , , , , , , 
Jan Clara Ventosa, 0, , , , ESP, , , , , , , , , , , , 
Jonas Gaces, 0, , , , CAN, , , , , , , , , , , , 
Oliver Stastny, 0, , , , CZE, , , , , , , , , , , , 
Jasper Grimm, 0, , , , USA, , , , , , , , , , , , 
Axel Lindroos, 0, , , , FIN, , , , , , , , , , , , 
Cal Gibson, 0, , , , USA, , , , , , , , , , , , 
Owen Crossmon, 0, , , , USA, , , , , , , , , , , , 
Philipp Bormann, 0, , , , GER, , , , , , , , , , , , 
Oscar Mattart, 0, , , , BEL, , , , , , , , , , , , 
Eryll Brennan, 0, , , , USA, , , , , , , , , , , , 
Fredrik Ellingsen Kjaerby, 0, , , , NOR, , , , , , , , , , , , 
Connor Dicks, 0, , , , USA, , , , , , , , , , , , 
Christos Tsitsos, 0, , , , GRE, , , , , , , , , , , , 
Lucas Ewert, 0, , , , CAN, , , , , , , , , , , , 
Niklas Soudunsaari, 0, , , , FIN, , , , , , , , , , , , 
Yuto Kimura, 0, , , , JPN, , , , , , , , , , , , 
Marco Kerschhackl, 0, , , 20, ITA, , , Bardolino, , , , , , , , , 
Katsuyuki Terashima, 0, , , , JPN, , , , , , , , , , , , 
Oscar Georgalli, 0, , , , NZL, , , , , , , , , , , , 
Rento Sakamoto, 0, , , , JPN, , , , , , , , , , , , 
Nikolay Markov, 0, , , , RUS, , , , , , , , , , , , 
Noah Griesheimer, 0, , , , USA, , , , , , , , , , , , 
Wendel Willemse, 0, , , , NED, , , , , , , , , , , , 
Niko Lemark, 0, , , , AUT, , , , , , , , , , , , 
Pau Bartolo, 0, , , , ESP, , , , , , , , , , , , 
Peresvet Stepanov, 0, , , , RUS, , , , , , , , , , , , 
Mathias Vaagsdal, 0, , , , NOR, , , , , , , , , , , , 
Luis Neubauer, 0, , , , GER, , , , , , , , , , , , 
Lenz Ganserer, 0, , , , GER, , , , , , , , , , , , 
Dominik Veselka, 0, , , , CZE, , , , , , , , , , , , 
Liam Denney, 0, , , , CAN, , , , , , , , , , , , 
Marko Darkov, 0, , , , MKD, , , , , , , , , , , , 
Eliot Golay, 0, , , , SUI, , , , , , , , , , , , 
Enzo Palissier, 0, , , , FRA, , , , , , , , , , , , 
Martti Iivonen, 0, , , , FIN, , , , , , , , , , , , 
Bastian Gebhard, 0, , , , GER, , , , , , , , , , , , 
Sigfinnur Bodvarsson, 801, 35.3, , , ISL, , , , , , , , Iceland, , , , 
Nemanja Pesic, 802, 35.21, , , SRB, , , , , , , , Serbia, , , , 
Santiago Figueras, 803, 35.18, , , ARG, , , , , , , , Argentina, , , , 
Mateo Gordillo-Faulkner, 804, 35.12, , , CAN, , , , , , , , Canada, , , , 
Lake Fleischer, 805, 34.93, , , USA, , , , , , , , United States, , , , 
Sam Riley, 806, 34.89, , , USA, , , , , , , , United States, , , , 
Jonathan Claudio, 807, 34.79, , , USA, , , , , , , , United States, , , , 
Cody Collins, 807, 34.79, , , USA, , , , , , , , United States, , , , 
Sena Tajiri, 809, 34.72, , , JPN, , , , , , , , Japan, , , , 
Kyran Hannah, 810, 34.59, , , NZL, , , , , , , , New Zealand, , , , 
Daniel Gillis, 811, 34.49, , , CAN, , , , , , , , Canada, , , , 
Marty Boyd, 812, 34.27, , , USA, , , , , , , , United States, , , , 
Sam Carpenter, 813, 34.1, , , CAN, , , , , , , , Canada, , , , 
Pall Rist Aubergy, 814, 33.94, , , ISL, , , , , , , , Iceland, , , , 
August Jensen, 815, 33.89, , , DEN, , , , , , , , DEN, , , , 
Markus Wendl, 816, 33.84, , , GER, , , , , , , , Germany, , , , 
Ryusei Okado, 817, 33.79, , , JPN, , , , , , , , Japan, , , , 
Taisei Okamoto, 818, 33.71, , , JPN, , , , , , , , Japan, , , , 
Stian Hallingstad, 819, 33.64, , , NOR, , , , , , , , Norway, , , , 
Jesse Hamric, 820, 33.41, , , USA, , , , , , , , United States, , , , 
Shengxin Liu, 821, 33.4, , , CHN, , , , , , , , China, , , , 
Ignacio Perez, 822, 33.33, , , AND, , , , , , , , Andorra, , , , 
Tom Rebernig, 822, 33.33, , , AUT, , , , , , , , Austria, , , , 
Yuga Kawata, 822, 33.33, , , JPN, , , , , , , , Japan, , , , 
Bojan Andonov, 825, 33.31, , , MKD, , , , , , , , Macedonia, The Former Yugoslav Republic of, , , , 
Daniil Stepanov, 826, 33.19, , , RUS, , , , , , , , Russian Federation, , , , 
Elliot Peeters, 827, 33.14, , , BEL, , , , , , , , Belgium, , , , 
Yurii Hordii, 828, 32.83, , , UKR, , , , , , , , Ukraine, , , , 
Yuki Yamauchi, 829, 32.75, , , JPN, , , , , , , , Japan, , , , 
Michael Herfurth, 830, 32.55, , , USA, , , , , , , , United States, , , , 
Even Baardseth, 830, 32.55, , , NOR, , , , , , , , Norway, , , , 
Thomas Salter, 832, 32.5, , , CAN, , , , , , , , Canada, , , , 
Connor Tulloch, 833, 32.25, , , CAN, , , , , , , , Canada, , , , 
Markus Wedenig, 834, 32.12, , , AUT, , , , , , , , Austria, , , , 
Sacha Balicco, 835, 31.92, , , FRA, , , , , , , , France, , , , 
Jonas Städler, 836, 31.88, , , SUI, , , , , , , , Switzerland, , , , 
Kota Mizukami, 837, 31.88, , , JPN, , , , , , , , Japan, , , , 
Anej Herzenjak, 838, 31.81, , , SLO, , , , , , , , SLO, , , , 
Alexey Maglov, 839, 31.63, , , RUS, , , , , , , , Russian Federation, , , , 
Jamie Campbell, 840, 31.54, , , CAN, , , , , , , , Canada, , , , 
Affan Zisko, 841, 31.47, , , BIH, , , , , , , , Bosnia and Herzegovina, , , , 
Jack Doiron, 842, 31.37, , , CAN, , , , , , , , Canada, , , , 
Luke Putys-Gallagher, 843, 31.17, , , LTU, , , , , , , , Lithuania, , , , 
Michele Talpo, 843, 31.17, , , ITA, , , , , , , , Italy, , , , 
Jackie Clemente, 845, 31.09, , , USA, , , , , , , , United States, , , , 
Mikhail Fomchenko, 846, 31.08, , , RUS, , , , , , , , Russian Federation, , , , 
Theodor Gaulin Sorensen, 847, 31.06, , , NOR, , , , , , , , Norway, , , , 
Yuma Tani, 848, 31.03, , , JPN, , , , , , , , Japan, , , , 
Justo Moller, 849, 31.01, , , ARG, , , , , , , , Argentina, , , , 
Maximilian Preissinger, 850, 30.99, Absolut Park | Electric | Planet Sports | Ride Snowboards | Vans | , 22, GER, Regular, 187cm, Starnberg, , , , , Germany, , , , 
Changjun Feng, 851, 30.94, , 25, CHN, Goofy, , Beijing, , , , , China, , , , 
Ney Arthur, 852, 30.91, , , FRA, , , , , , , , France, , , , 
Sylas Trask, 853, 30.89, , , USA, , , , , , , , United States, , , , 
Bennett Flynn, 854, 30.81, , , USA, , , , , , , , United States, , , , 
Fabian Nehring, 855, 30.74, , 14, GER, Regular, , Ludwigsfelde, , , , , Germany, , , , 
Hiroto Ito, 856, 30.7, , , JPN, , , , , , , , Japan, , , , 
Dennis Angelillo, 857, 30.65, , , SUI, , , , , , , , Switzerland, , , , 
Koen McCorrister, 858, 30.49, , , CAN, , , , , , , , Canada, , , , 
Akira Takahashi, 859, 30.4, , , JPN, , , , , , , , Japan, , , , 
Sora Kudo, 860, 30.4, , , JPN, , , , , , , , Japan, , , , 
Einar Agust Asmundsson, 861, 30.4, , , NOR, , , , , , , , Norway, , , , 
Kyoichiro Abe, 862, 30.34, , , JPN, , , , , , , , Japan, , , , 
Ben Beuchel, 863, 30.22, , , CAN, , , , , , , , Canada, , , , 
Bryce Doherty, 864, 30.2, , , CAN, , , , , , , , Canada, , , , 
Hidde Huet, 865, 30.18, , , NED, , , , , , , , NED, , , , 
Koki Yokota, 866, 29.96, , , JPN, , , , , , , , Japan, , , , 
Liam Tourki, 867, 29.79,  | , 21, FRA, Regular, 170, Doussard, Les 7 laux
7 laux, , https://www.facebook.com/pages/Tourki-liam/219574808212413?fref=ts, , France, , , , 
Josh Klein, 868, 29.78, , 14, CAN, , , , , , , , Canada, , , , 
Christoph Augsten, 869, 29.66, , , AUT, , , , , , , , Austria, , , , 
Leonard Lech-Hernes, 870, 29.61, , , NOR, , , , , , , , Norway, , , , 
Natan Nidoumbe, 871, 29.29, , 15, FRA, , , Meauzac, , , , , France, , , , 
Lee-Jun Kweon, 872, 29.27, , 23, KOR, Regular, 5.9ft, , Welihili Park, none, none, www.twitter.com/none, Korea, Republic of, , , , 
Maksim Suikov, 873, 29.26, , , RUS, , , , , , , , Russian Federation, , , , 
Blake Stefanec, 874, 29.24, , , CAN, , , , , , , , Canada, , , , 
Egor Shmurikov, 875, 29.05, , 17, RUS, , , , , , , , Russian Federation, , , , 
Elijah Pyle, 876, 29.03, , , USA, , , , , , , , United States, , , , 
Daniel Kaspar, 877, 28.72, , , CZE, , , , , , , , Czech Republic, , , , 
Scott Barr, 878, 28.58, , , USA, , , , , , , , United States, , , , 
Ran Furuhashi, 879, 28.32, , , JPN, , , , , , , , Japan, , , , 
Jonah Deans, 880, 28.31, , , CAN, , , , , , , , Canada, , , , 
Bjorn Andri Sigfusson, 881, 28.29, , , ISL, , , , , , , , Iceland, , , , 
Noah Leece, 882, 28.28, , , CAN, , , , , , , , Canada, , , , 
Ryan Henning, 883, 28.27, , , CAN, , , , , , , , Canada, , , , 
Mika Andenmatten, 884, 28.15, , 19, SUI, , , , , , , , Switzerland, , , , 
Brayden Abbott, 885, 28.05, , , CAN, , , , , , , , Canada, , , , 
Daan Stam, 886, 28.04, , , GBR, , , , , , , , United Kingdom, , , , 
Nicholas Bousbouras, 887, 27.83, , , USA, , , , , , , , United States, , , , 
Lucas Levan, 888, 27.8, , , CAN, , , , , , , , Canada, , , , 
Jonathan Haude, 889, 27.73, , , AUT, , , , , , , , Austria, , , , 
Louis Martinez, 890, 27.68, , , FRA, , , , , , , , France, , , , 
Owen Thompson, 891, 27.62, , , CAN, , , , , , , , Canada, , , , 
Johnny Duty, 892, 27.51, , , USA, , , , , , , , United States, , , , 
Elis Gislason, 893, 27.51, , , ISL, , , , , , , , Iceland, , , , 
Dylan Laliberte, 894, 27.49, , , CAN, , , , , , , , Canada, , , , 
Valeriy Sytykh, 895, 27.26, , 12, BLR, Regular, , Minsk, , , , , Belarus, , , , 
Liam Roy, 896, 27.2, , , CAN, , , , , , , , Canada, , , , 
Aarni Harju, 897, 27.19, , , FIN, , , , , , , , Finland, , , , 
Leo Thoresen, 898, 27.19, , , GER, , , , , , , , Germany, , , , 
Florian Van Der Haven, 899, 27.19, , , NED, , , , , , , , NED, , , , 
Toma Murakami, 900, 26.97, , , JPN, , , , , , , , Japan, , , , 
Danilo Pohl, 0, , , , GER, , , , , , , , , , , , 
Nedim Pecanin, 0, , , , BIH, , , , , , , , , , , , 
Jaroslav Skarvan, 0, , , , CZE, , , , , , , , , , , , 
Andre Tio, 0, , , , CAN, , , , , , , , , , , , 
Filip Orlik, 0, , , , POL, , , , , , , , , , , , 
Sumner Orr, 0, , , , USA, , , , , , , , , , , , 
Zeb Powell, 0, , , , USA, , , , , , , , , , , , 
Yoshikatsu Hirao, 0, , , , JPN, , , , , , , , , , , , 
Vedran Laurenchikj, 0, , , , MKD, , , , , , , , , , , , 
Arttu Paunonen, 0, , , , FIN, , , , , , , , , , , , 
Travis Williams, 0, , , , CAN, , , , , , , , , , , , 
Noah Gasperi, 0, , Voelkl | 686 | , 19, AUT, Goofy, 165cm, , Nassfeld / Hermagor, , , , , , , , 
Max Barcons Antunes, 0, , , , AND, , , , , , , , , , , , 
Masato Fuse, 0, , , , JPN, , , , , , , , , , , , 
Mons Foss, 0, , , , NOR, , , , , , , , , , , , 
Jukka Tyni, 0, , , 30, FIN, , , , , , , , , , , , 
Noel Broadbent, 0, , , , SUI, , , , , , , , , , , , 
Isaac Dalrymple, 0, , , , USA, , , , , , , , , , , , 
Roope Tonteri, 0, , Anon Optics | Burton Snowboards | Red Bull | , 28, FIN, Goofy, 165. cm, Valkeala, Mielakka Kouvola, , , , , , , , 
Kippei Kato, 0, , , , JPN, , , , , , , , , , , , 
Giovanni Bertolini, 0, , , , ITA, , , , , , , , , , , , 
Andrea Benvenuti, 0, , , , ITA, , , , , , , , , , , , 
Beck Lobben, 0, , , , USA, , , , , , , , , , , , 
Niklas Ebner, 0, , , , GER, , , , , , , , , , , , 
Aitor Soto, 0, , , , ESP, , , , , , , , , , , , 
Gregory Eckhardt, 0, , , , SUI, , , , , , , , , , , , 
Joshua Aarts, 0, , , , NED, , , , , , , , , , , , 
Kaito Kotani, 0, , , , JPN, , , , , , , , , , , , 
Vadim Bobryshev, 0, , , 26, RUS, , , Petropavlovsk-Kamchatsky, , , , , , , , , 
Miles Desjardin, 0, , , , CAN, , , , , , , , , , , , 
Ruben Rosenfors, 0, , , , SWE, , , , , , , , , , , , 
