riderName, position, points, sponsors, age, nationality, stance, height, residence, resort, website, facebook, twitter, nationality_full  
Elle Valkenborgh,  381,  26.43, , , BEL, , , , , , , , Belgium, , , , 
Page Gordon,  382,  25.99, , , CAN, , , , , , , , Canada, , , , 
Lisa Demke,  383,  25.93, , , SUI, , , , , , , , Switzerland, , , , 
Hiroka Kitano,  384,  25.43, , , JPN, , , , , , , , Japan, , , , 
Tanja Wolf,  385,  25.09, , , AUT, , , , , , , , Austria, , , , 
Iina Saarela,  386,  24.65, , , FIN, , , , , , , , Finland, , , , 
Mak Yen-Linn,  387,  24.47, , , AUT, , , , , , , , Austria, , , , 
Risa Nakasima,  388,  24.38, Deeluxe | Union Bindings | , 2, JPN, Regular, 165, Ko-To-Ku, Breckenridge, ameblo.jp/rissa-men/, https://www.facebook.com/risa.nakashima.73, , Japan, , , , 
Eva Firnesz,  389,  24.08, , , CAN, , , , , , , , Canada, , , , 
Lynne Graf,  390,  24.07, , , SUI, , , , , , , , Switzerland, , , , 
Caitlyn Langer,  391,  24.01, , , USA, , , , , , , , United States, , , , 
Zoe MacGeorge,  392,  23.96, , , SUI, , , , , , , , Switzerland, , , , 
Nora Synnove Topp Oye,  393,  23.93, , , NOR, , , , , , , , Norway, , , , 
Neda Milenkovic,  394,  23.73, , , SRB, , , , , , , , Serbia, , , , 
Gabriella Holden,  395,  23.6, , , USA, , , , , , , , United States, , , , 
Ashley Bogart,  396,  23.43, , , USA, , , , , , , , United States, , , , 
Amy McCarthy,  397,  23.34, , , CAN, , , , , , , , Canada, , , , 
Tina Kalinovska,  397,  23.34, , , LAT, , , , , , , , LAT, , , , 
Stella Picchedda,  399,  22.88, , , FRA, , , , , , , , France, , , , 
Mila Nyvelt,  400,  22.58, , , AUT, , , , , , , , Austria, , , , 
