position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
325,Negishi,Ukyo,JPN,,,96737,9300972,"1 / (1)",39.57
326,Finnsson,"Kolbeinn Thor",ISL,,,97461,9250014,"2 / (2)",39.54
327,Krauskopf,Tosh,CAN,15,"2005-01-16 00:00:00",91393,,"3 / (3)",39.23
328,"Krogt  Van Der",Mitchell,NED,,,100224,,"1 / (1)",39.18
329,Kalinin,Kirill,RUS,,,100064,,"1 / (1)",39.01
330,Zisko,Affan,BIH,,,93160,9710009,"2 / (2)",38.42
331,Buraud,Jules,FRA,,,97374,9190516,"1 / (1)",38.17
332,Poulin,Patrice,CAN,20,"1999-12-12 00:00:00",92947,9100986,"1 / (1)",37.80
333,Tokarczyk,Piotr,POL,29,"1991-07-11 00:00:00",78786,9430115,"1 / (1)",37.53
334,Kaku,Yusei,JPN,,,98221,9300925,"1 / (1)",37.10
335,Shambo,Grant,USA,,,84582,9531248,"1 / (1)",37.03
336,Nicholson,Tyler,CAN,25,"1995-08-03 00:00:00",83279,9100475,"1 / (1)",36.97
337,Mikhalevych,Viktor,UKR,,,95814,,"1 / (1)",36.96
338,Fairgrieve-Park,Kalin,CAN,20,"2000-04-05 00:00:00",91778,9100868,"2 / (2)",36.61
339,Ershov,Petr,RUS,,,94835,,"2 / (2)",36.54
340,Ohashi,Rikuto,JPN,18,"2001-12-05 00:00:00",95027,9300841,"1 / (1)",36.53
341,Karhila,Roni,FIN,,,95037,9180194,"2 / (2)",36.45
342,Castro,Jaime,ESP,,,94513,9490217,"1 / (1)",36.40
342,Cachat,Juan,FRA,20,"2000-05-09 00:00:00",91285,9190452,"1 / (1)",36.40
344,Rice,Brian,USA,,,98906,,"1 / (1)",36.32
345,Forin,Guillaume,FRA,,,96343,9190486,"1 / (1)",35.14
346,Obata,Kaishi,JPN,,,93043,9300909,"1 / (1)",34.79
347,Rizzi,Giovanni,SUI,,,93567,9510445,"2 / (2)",34.24
348,Virsunen,Juho,FIN,,,96440,,"2 / (2)",33.83
349,Almqvist,William,SWE,,,84585,9500159,"1 / (1)",33.53
350,Uporov,Ermolai,RUS,,,100241,,"1 / (1)",33.53
351,Cukunde,Arturs,LAT,,,86395,1554959,"1 / (1)",33.33
351,Guseli,Valentino,AUS,15,"2005-04-01 00:00:00",88527,9040291,"1 / (1)",33.33
351,Smith,Truth,CAN,16,"2004-03-04 00:00:00",91327,9101123,"1 / (1)",33.33
354,Stanek,Jarek,FIN,,,97147,,"1 / (1)",33.13
355,"Brune Olsen","Anders Johannes",NOR,,,98565,,"2 / (2)",32.70
356,Kudo,Yamato,JPN,,,91686,9300845,"1 / (1)",32.61
357,Uzpolevicius,Domas,LTU,,,98195,,"1 / (1)",32.46
358,Wrobel,Evan,USA,,,98929,,"1 / (1)",32.38
359,Stojchevski,Hristijan,MKD,,,99801,,"1 / (1)",32.30
360,Turpeinen,Tuomas,FIN,,,96431,,"2 / (2)",32.01
361,Klebe-Mcculloch,Dashiell,CAN,,,95445,9101137,"2 / (2)",31.66
362,Choi,Yoonjae,KOR,,,94882,,"2 / (2)",31.62
363,Kweon,Leejun,KOR,23,"1997-10-24 00:00:00",86412,9320093,"2 / (2)",31.13
364,Gao,Xuesong,CHN,,,100092,9120058,"1 / (1)",31.04
365,Klein,Oskar,CAN,19,"2001-08-16 00:00:00",88085,9100871,"2 / (2)",30.44
366,Hendriks,Lucas,NED,,,99227,,"1 / (1)",30.38
367,Parkinson,Jesse,AUS,15,"2005-06-28 00:00:00",94288,9040298,"2 / (2)",30.08
368,"Palissier Roy",Enzo,FRA,,,92778,,"3 / (3)",29.90
369,Strolz,Timo,SUI,,,91078,9510423,"2 / (2)",29.52
370,Grigaitis,Rokas,LTU,,,100093,1783076,"2 / (2)",29.43
371,Aalto,Roni,FIN,,,96435,,"1 / (1)",29.35
372,Mawejje,Brolin,USA,,,85974,9531148,"2 / (2)",28.97
373,Abe,Jinichiro,JPN,,,96863,9300854,"1 / (1)",28.58
374,Suikov,Maksim,RUS,,,94554,9480555,"1 / (1)",28.45
375,Lehner,Elias,SUI,,,95313,,"1 / (1)",27.94
376,Haug,Thorbjorn,NOR,,,99325,,"3 / (3)",27.81
377,Cantelon,Jonah,CAN,,,99402,,"2 / (2)",27.62
378,"Garcia Knight",Carlos,NZL,23,"1997-05-06 00:00:00",87289,9410042,"1 / (1)",27.60
379,Huuhtanen,Juhani,FIN,,,93238,,"2 / (2)",27.35
380,Kim,Hyobin,KOR,,,99344,,"3 / (3)",27.30
381,"BAILLY SALIN",Maxime,FRA,,,91557,9190515,"1 / (1)",27.07
382,Petrusevics,Toms,LAT,28,"1992-07-20 00:00:00",88671,1554994,"1 / (1)",26.98
383,Arnason,"Tomas Orri",ISL,,,96306,9250015,"1 / (1)",26.78
384,Saijo,Kazuki,JPN,,,93680,9300807,"1 / (1)",26.70
385,Hauschildt,"Kian Christopher",BRA,,,99305,,"1 / (1)",26.41
386,Fitzgerald,Tj,USA,19,"2001-09-14 00:00:00",85106,9531271,"1 / (1)",26.37
387,Kauranen,Mitja,FIN,,,93243,,"1 / (1)",25.75
387,Lee,Hyun-Jun,KOR,,,95239,9320181,"1 / (1)",25.75
389,Putys-Gallagher,Luke,LTU,,,100860,,"1 / (1)",25.34
390,Tyler,Hayden,USA,,,96979,,"1 / (1)",25.30
391,Banados,Felipe,CHI,,,96190,9110026,"2 / (2)",25.17
392,Morii,Miruki,JPN,,,95018,9300944,"1 / (1)",24.88
393,ROBERTSON-HAHN,Joshua,AUS,,,94284,9040292,"1 / (1)",24.81
394,Romani,Lucio,ARG,,,99144,9030147,"2 / (2)",24.80
395,Hafsahl,Storm,NOR,,,97096,,"2 / (2)",24.71
396,Schuetz,Nicolas,SUI,,,91725,9510483,"1 / (1)",24.64
397,Bauer,Raphael,FRA,,,98437,,"1 / (1)",24.63
398,Eckhardt,Gregory,SUI,,,93665,,"2 / (2)",24.58
399,Golay,Eliot,SUI,,,98301,9510485,"1 / (1)",24.51
400,Granli-Sommerud,Andreas,NOR,,,98271,,"3 / (3)",24.19
401,Steffensen,Lasse,NOR,,,93760,,"3 / (3)",24.14
402,Bradic,Bosko,SRB,,,100627,,"2 / (2)",23.77
403,Siadanau,Ihnat,BLR,,,90006,1664923,"1 / (1)",23.71
404,Barin,Cesar,FRA,,,94634,9190550,"1 / (1)",23.67
405,Striukov,Timofei,RUS,,,99570,,"1 / (1)",23.37
406,Khadarin,Vlad,RUS,22,"1998-02-22 00:00:00",87235,9480582,"1 / (1)",23.16
407,Asaga,Shimpei,JPN,30,"1990-05-07 00:00:00",87333,,"1 / (1)",23.13
408,Garay,Santiago,ARG,,,100194,9030154,"2 / (2)",23.08
409,Denham,Jake,USA,,,92047,9531233,"1 / (1)",22.97
410,Gustaffson,Tim,NOR,,,98566,,"2 / (2)",22.86
411,Andenmatten,Mika,SUI,19,"2001-09-20 00:00:00",90862,9510425,"1 / (1)",22.81
412,Petrick,Ryder,CAN,19,"2001-03-11 00:00:00",91460,9101032,"2 / (2)",22.67
413,Mendolia,"Facundo Catriel",ARG,,,96047,9030084,"1 / (1)",22.48
414,Chemodurov,Yuriy,RUS,30,"1990-06-08 00:00:00",88146,9480461,"2 / (2)",22.13
415,Bjorgvinsson,Arnar,ISL,,,99041,,"1 / (1)",21.57
416,Lauffer,Logan,USA,18,"2002-01-24 00:00:00",97567,9531410,"1 / (1)",21.34
417,Chayametisurat,Lubpawath,THA,,,100180,,"2 / (2)",21.16
418,Arason,"Birkir Thor",ISL,,,97456,9250017,"2 / (2)",21.13
419,Cinca,Patrick,GER,30,"1990-10-11 00:00:00",81690,9200087,"1 / (1)",21.11
420,Thelen,Axel,FIN,22,"1997-11-15 00:00:00",90978,9180154,"2 / (2)",21.10
421,Pundins,Janis,LAT,,,100029,,"1 / (1)",21.01
422,Machtans,Ben,CAN,,,95446,9101117,"1 / (1)",20.97
423,Riley,Sam,USA,,,98709,9531512,"1 / (1)",20.85
424,Markov,Nikolay,RUS,,,100244,9480829,"2 / (2)",20.71
425,Cockrell,Billy,GBR,21,"1999-01-30 00:00:00",82368,9220101,"1 / (1)",20.64
426,Banados,Vicente,CHI,,,96049,9110018,"1 / (1)",20.16
427,Bouzanne,Gabin,FRA,,,96541,9190549,"1 / (1)",20.04
428,Stepanov,Peresvet,RUS,,,100240,9480835,"2 / (2)",19.89
429,Mukai,Takeru,JPN,,,95175,9300966,"1 / (1)",19.76
430,Leuenberger,Lukas,SUI,,,93059,,"1 / (1)",19.70
431,Malcolm,George,CAN,,,94673,9100976,"2 / (2)",19.64
432,"Mork Danielsen",Jonas,NOR,,,98372,,"2 / (2)",19.63
433,Repo,Kalle,FIN,,,95032,,"1 / (1)",19.51
434,Fenning,Lenny,GBR,,,96540,,"1 / (1)",19.51
435,Hietikko,Jere,FIN,,,93960,,"1 / (1)",19.40
436,Hed,Olle,SWE,,,87980,9500170,"1 / (1)",19.39
436,Kervinen,Nooa,FIN,,,94160,9180193,"1 / (1)",19.39
438,Jonsson,"Bjartur Snaer",ISL,,,97442,9250059,"1 / (1)",19.34
439,Kronlund,Stian,NOR,18,"2001-12-25 00:00:00",93191,,"2 / (2)",19.23
440,Urbanski,Patryk,POL,,,87044,9430185,"1 / (1)",19.07
441,Chen,Maxson,AUS,,,92310,9040299,"3 / (3)",18.81
442,Stepanov,Daniil,RUS,,,99569,,"1 / (1)",18.32
443,Konuma,Haruka,JPN,,,96727,,"1 / (1)",18.13
444,Coletti,Anzo,FRA,,,100546,,"1 / (1)",17.86
445,Muhonen,Anton,SWE,,,94027,9500164,"1 / (1)",17.83
446,Scherrer,Ian,CAN,,,96220,,"1 / (1)",17.38
447,Odinsson,"Hafsteinn Heimir",ISL,,,99031,,"1 / (1)",17.31
447,Modesti,Michael,CAN,19,"2001-07-12 00:00:00",91040,9100907,"2 / (2)",17.31
449,Hagen,Haavard,NOR,,,94620,,"2 / (2)",17.00
450,Cannicionnie,Julien,CAN,,,96657,9101031,"1 / (1)",16.97
451,Ocariz,Francisco,ARG,,,100184,9030144,"2 / (2)",16.65
452,Martin,Kade,USA,,,96973,,"2 / (2)",16.53
453,Drechsler,"Carl Maria",GER,,,96282,,"1 / (1)",16.53
453,Uehara,Takuya,JPN,29,"1991-03-28 00:00:00",95026,9300846,"1 / (1)",16.53
455,Lecroy,Kolman,USA,,,96120,9531366,"1 / (1)",16.52
456,Capodiferro,Alessio,SUI,,,97624,9510464,"1 / (1)",16.42
457,Guisolan,Aristide,SUI,,,97621,9510465,"1 / (1)",16.15
458,Jozsa,Martin,SVK,,,99083,,"1 / (1)",15.73
459,Laminie,Theo,FRA,,,97373,9190510,"1 / (1)",15.73
460,Zhang,Jiahao,CHN,,,90959,1124972,"1 / (1)",15.73
461,Hlynsson,Reynar,ISL,,,95750,,"1 / (1)",15.46
462,Dumins,Eduards,LAT,,,100030,,"1 / (1)",15.38
463,Wijnstra,Thom,NED,,,100225,,"1 / (1)",15.17
464,Skvoznyakov,Efim,RUS,,,100237,9480831,"1 / (1)",15.05
464,Sigel,Gus,USA,,,98708,,"1 / (1)",15.05
464,Erkaev,Konstantin,RUS,,,78038,9480386,"1 / (1)",15.05
467,Graikos,Dimitrios,GRE,,,99211,,"2 / (2)",15.00
468,Hiraoka,Keitaro,JPN,21,"1998-11-27 00:00:00",87120,9300730,"1 / (1)",14.96
469,Matt,Landen,USA,,,98897,,"1 / (1)",14.92
470,Johansson,"Borgthor Omar",ISL,,,96991,,"1 / (1)",14.73
471,"Clara Ventosa",Jan,ESP,,,100858,,"1 / (1)",14.51
472,Perroud,Timothy,SUI,,,96445,9510442,"1 / (1)",14.51
473,Karafyllias,Drosos,GRE,,,100631,,"3 / (4)",14.41
474,"Leutola Diaz",Lucas,FIN,,,100608,,"1 / (1)",14.22
475,Teksle,Petter,NOR,,,96873,,"2 / (2)",14.12
476,Gioia,Tomas,ARG,,,100195,,"2 / (2)",14.10
477,Aubergy,"Pall Rist",ISL,,,97450,9250053,"1 / (1)",13.75
478,Abadlia,Marouane,FRA,,,95691,,"1 / (1)",13.66
478,Dunaux,Benjamin,FRA,,,78350,9190344,"1 / (1)",13.66
480,Sverresvold,Julian,NOR,,,100717,,"1 / (1)",13.49
481,Sequeira,Gabriel,CAN,,,99445,,"1 / (1)",13.28
482,Roy,Liam,CAN,,,91632,,"1 / (1)",13.21
483,Wirth,Joschka,GER,,,101031,,"1 / (1)",13.00
483,Radulovic,Ognjen,SRB,,,100626,,"2 / (2)",13.00
485,Karoliussen,Petter,NOR,,,97692,,"1 / (1)",12.74
486,Durand,Alois,GER,16,"2003-12-02 00:00:00",91590,9200184,"2 / (2)",12.47
487,Lee,Hyun-Su,KOR,,,99258,,"1 / (1)",12.25
488,Arnarsson,"Skirnir Dadi",ISL,,,95744,,"1 / (1)",12.16
489,Mather,Samuel,CAN,,,95450,9101146,"2 / (2)",12.00
490,Kleivdal,Morten,NOR,29,"1991-03-13 00:00:00",71775,9420061,"1 / (1)",11.91
491,Minamiya,Hanato,JPN,,,98219,,"1 / (1)",11.87
492,Ahola,Niko,FIN,,,97145,,"1 / (1)",11.85
492,Lee,Byung-Yun,KOR,,,96475,9320188,"1 / (1)",11.85
494,Chomlack,Caleb,CAN,16,"2004-06-10 00:00:00",91323,9101193,"1 / (1)",11.81
495,Städler,Jonas,SUI,,,98319,,"1 / (1)",11.48
496,Knellwolf,Andrin,SUI,,,92982,9510508,"1 / (1)",11.25
497,Paunonen,Arttu,FIN,,,97146,,"1 / (1)",11.25
498,Levy,Griffin,CAN,,,93631,9101210,"1 / (1)",11.05
499,"Steen Ahlstrom",Oliver,NOR,,,99324,,"2 / (2)",10.86
500,Hagen,"Ole Christian",NOR,25,"1995-06-07 00:00:00",81726,,"1 / (1)",10.75
501,Gudmundsson,"Astvaldur Ari",ISL,,,99042,,"1 / (1)",10.67
502,Sakamoto,Rento,JPN,,,95300,,"1 / (1)",10.35
503,Fantuz,Dawson,CAN,,,96214,9101078,"1 / (1)",10.29
504,Eibl,Maxwell,CAN,,,97856,9101223,"1 / (1)",10.09
505,Willemsen,Jesse,NED,,,98443,,"1 / (1)",10.08
506,Rokosh,Max,CAN,,,91990,9101145,"1 / (1)",10.06
507,Vasarajs,Arturs,LAT,,,88756,1554987,"1 / (1)",10.02
508,Barth,Ivan,ARG,,,99143,,"2 / (2)",9.97
509,Burch,Dario,SUI,23,"1997-03-15 00:00:00",82504,9510348,"1 / (1)",9.84
510,Yin,Kai,FIN,,,100607,,"1 / (1)",9.63
511,Pardo,Falcundo,ARG,,,94370,9030117,"1 / (1)",9.62
512,Roberts,Ocean,AUS,19,"2001-03-06 00:00:00",92306,9040263,"2 / (2)",9.59
513,Burns,Owen,CAN,17,"2003-05-11 00:00:00",92619,9101056,"1 / (1)",9.55
514,"Garcia Sune",Manel,AND,,,100855,,"1 / (1)",9.35
515,Zabela,Siarhei,BLR,,,100833,,"1 / (1)",9.28
516,Thoroddsson,"Arnor Dagur",ISL,,,100025,9250061,"1 / (1)",9.28
517,Fujiya,Ryoji,JPN,,,95431,9300935,"1 / (1)",8.85
518,Argue,Chase,CAN,,,99356,,"1 / (1)",8.64
519,Harding,Jimmy,AUS,,,94309,,"1 / (1)",8.63
520,"Dale Nyqvist",Alexander,NOR,,,100438,,"1 / (1)",8.33
521,Marchesi,Luis,SUI,,,98607,,"1 / (1)",8.20
522,Cigovski,Maksim,MKD,,,100623,,"1 / (1)",8.19
523,Koppenberg,Luca,SUI,,,91730,9510477,"1 / (1)",8.03
524,Klapfenberger,Tobias,GER,,,98007,,"1 / (1)",8.02
525,Moon,Jaxson,USA,,,98937,,"2 / (2)",7.68
526,Ostergaard,Maximilian,DEN,,,100066,,"1 / (1)",7.66
526,Authier,Mathis,FRA,,,100702,,"1 / (1)",7.66
528,Iivonen,Martti,FIN,,,93962,,"1 / (1)",7.53
529,Chen,Vinson,AUS,,,92299,9040300,"2 / (2)",7.52
530,Okajima,Daia,JPN,,,96714,9300969,"1 / (1)",7.35
531,Eckert,Coltan,CAN,17,"2003-10-06 00:00:00",94849,,"1 / (1)",7.32
532,Steed,Jackson,CAN,,,96312,,"1 / (1)",7.26
533,"Ulseth Sylte",Vegard,NOR,,,100615,,"1 / (1)",7.10
534,Vargdal,Sigurd,NOR,,,95251,9420162,"1 / (1)",7.00
535,Ok,Ho-gwang,KOR,22,"1998-03-23 00:00:00",91107,9320118,"1 / (1)",7.00
536,"Da Cruz Antequera",Mario,AND,,,92759,9020043,"1 / (1)",6.91
537,Olafsson,"Stefan Jon",ISL,,,100024,9250072,"1 / (1)",6.69
538,Baumann,Moreno,SUI,,,93664,9510462,"1 / (1)",6.56
539,Asmundsson,"Einar Agust",NOR,,,95134,,"1 / (1)",6.51
540,He,Wei,CHN,,,99703,,"1 / (1)",6.15
541,Zverina,Petr,CZE,,,94191,,"1 / (1)",6.15
542,Brown,Nayte,CAN,,,99362,,"1 / (1)",5.94
543,Bottcher,Thore,NOR,,,100714,,"1 / (1)",5.89
544,Matsumoto,Sota,JPN,,,99272,,"1 / (1)",5.87
545,Delignieres,Eliott,FRA,,,100071,,"1 / (1)",5.71
545,Martinez,Louis,FRA,,,100545,,"1 / (1)",5.71
547,Sigfusson,"Bjorn Andri",ISL,,,99032,,"1 / (1)",5.48
548,Wang,Liwen,CHN,,,96903,1124984,"1 / (1)",5.43
549,Lodjinovic,Veljko,SRB,,,100628,,"1 / (1)",5.37
550,Freitas,Jaden,USA,16,"2004-07-20 00:00:00",98018,,"1 / (1)",5.11
551,Brunner,Pawel,SUI,,,99776,,"1 / (1)",4.92
552,Brieze,Markuss,LAT,,,88865,,"1 / (1)",4.91
553,Broadbent,Noel,SUI,,,98361,,"1 / (1)",4.80
554,"Gaulin Sorensen",Theodor,NOR,,,100716,,"1 / (1)",4.69
555,Nakai,Hiroto,JPN,,,98168,,"1 / (1)",4.67
556,"Barcons Antunes",Max,AND,,,100856,,"1 / (1)",4.55
557,Sigurdsson,"Oddur Vilberg",ISL,,,95748,9250002,"1 / (1)",4.32
558,MacAulay,Spencer,CAN,,,96170,9101034,"1 / (1)",4.18
559,Hrstka,Ladislav,CZE,18,"2001-11-14 00:00:00",81043,9150165,"2 / (2)",3.83
560,Thieffenat,Tim,FRA,,,100073,,"1 / (1)",3.79
560,Naskov,Kiril,MKD,,,101043,,"1 / (1)",3.79
560,Leleu,Achille,FRA,,,100699,,"1 / (1)",3.79
563,Arshinov,Platon,RUS,,,100238,,"1 / (1)",3.55
563,Avtaneev,Nikita,RUS,25,"1995-03-09 00:00:00",86316,9480374,"1 / (1)",3.55
565,McHatten,Colton,CAN,,,100476,,"1 / (1)",3.45
566,"Sjurseth Berg",Petter,NOR,,,88822,,"1 / (1)",3.43
567,Pickard,Andrew,BEL,,,98309,,"1 / (1)",3.20
568,Haraldsson,"Hlynur Atli",ISL,,,99044,,"1 / (1)",3.20
569,Miskiman,Sean,CAN,20,"2000-05-03 00:00:00",87792,9100751,"1 / (1)",3.05
570,Tomabechi,Shu,JPN,,,100598,,"1 / (1)",2.92
571,Layzell,Chase,CAN,19,"2001-11-07 00:00:00",92549,9100899,"1 / (1)",2.77
572,Seljenes,Liam,NOR,,,94622,,"1 / (1)",2.33
573,Gipiskis,Jonas,LTU,,,100094,1783075,"1 / (1)",2.32
574,Sandblom,Shayne,USA,,,97832,9531481,"1 / (1)",2.27
575,"Lopez Arruebo",Xavier,AND,,,92757,9020040,"1 / (1)",2.25
576,Holzinger,Dominik,AUT,,,97724,9050175,"1 / (1)",2.17
577,Marteinsson,"Magnthor Oddur",ISL,,,98281,9250022,"1 / (1)",2.11
578,Frey,Emil,GER,,,98658,,"1 / (1)",1.97
579,Rodriguez,Joaquin,ARG,,,94365,9030118,"1 / (1)",1.89
580,Joensuu,Topias,FIN,,,96438,,"1 / (1)",1.78
581,Schroeter,Gion,SUI,,,98363,,"1 / (1)",1.64
582,Gustaffson,"Tim Olof",NOR,,,99328,,"1 / (1)",1.54
583,Mukai,Kaito,JPN,,,95180,,"1 / (1)",1.46
584,Lech-Hernes,Leonard,NOR,,,100437,,"1 / (1)",1.16
585,Petursson,"Ivan Otri",ISL,,,100023,,"1 / (1)",1.04
