lastName, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter 
Gerard,  Redmond, 1, 882.98, Burton Snowboards | Celtek | Mountain Dew | Von Zipper | Wend Wax | Woodward Copper | , 20, USA, United States, Regular, 5ft.4in., Silverthorne, Copper, www.redgerard.net, www.facebook.com/redgerard, www.twitter.com/@RedmondGerard, , , 
Parkinson,  Jesse, 456, 89.97, Go Pro Cameras | Quiksilver | Skullcandy | , 15, AUS, Australia, Regular, , , , , , , , , 
De Baets,  Rune, 458, 89.85, , , BEL, Belgium, , , , , , , , , , 
Berghorn,  Gavin, 459, 88.76, , , USA, United States, , , , , , , , , , 
Bridgman,  Nicholas, 460, 88.47, Northwave | Smith | , 27, ITA, Italy, Goofy, 179, Jesolo Lido, Seiser Alm, , Nicholas Bridgman, , , , 
Axelsson,  Felix, 461, 88.23, , , SWE, Sweden, , , , , , , , , , 
Pare,  Nathan, 462, 88.18, , , USA, United States, , , , , , , , , , 
Delaurier,  Tyson, 463, 87.85, , , CAN, Canada, , , , , , , , , , 
Rawdon-Harris,  Ethan, 464, 87.31, , , CAN, Canada, , , , , , , , , , 
Scanland,  Cyrus, 465, 87.17, , , CAN, Canada, , , , , , , , , , 
Haefliger,  Lars, 466, 87.12, , , SUI, Switzerland, , , , , , , , , , 
Justin,  Perron, 467, 87.08, , , CAN, Canada, , , , , , , , , , 
Henricksen,  Dillon, 468, 86.99, , , USA, United States, , , , , , , , , , 
Toman,  Vaclav, 469, 86.19, , 17, CZE, Czech Republic, Goofy, , Prague, , , , , , , 
Schwiersch,  Leonhard, 470, 85.26, , , GER, Germany, , , , , , , , , , 
Kreienbuehl,  Gabriel Tim, 471, 85.1, , , SUI, Switzerland, , , , , , , , , , 
Mukai,  Takeru, 472, 84.71, , , JPN, Japan, , , , , , , , , , 
Alkefjaerd,  Daniel, 473, 84.65, Dr.Zipe | , 23, SWE, Sweden, Regular, , , , , , , , , 
Laine,  Juho, 474, 84.44, , , FIN, Finland, , , , , , , , , , 
Zabela,  Siarhei, 475, 84.16, , , BLR, Belarus, , , , , , , , , , 
Vargdal,  Sigurd, 476, 84.11, , , NOR, Norway, , , , , , , , , , 
Foord-Kelcey,  James, 477, 83.79, , , CAN, Canada, , , , , , , , , , 
Hicks,  Kieran, 478, 83.79, Lib Technologies | Von Zipper | , 10, CAN, Canada, Goofy, , , , , , , , , 
Todd,  Connor, 479, 83.7, , , CAN, Canada, , , , , , , , , , 
MacZugowski,  Jedrzej, 480, 83.38, , , POL, Poland, , , , , , , , , , 
Ulseth Sylte,  Vegard, 481, 83.36, , , NOR, Norway, , , , , , , , , , 
MacIsaac,  Jordan, 482, 83.23, , , CAN, Canada, , , , , , , , , , 
Warren,  Bo, 483, 82.96, Lib Technologies | , 23, USA, United States, , , , , , , , , , 
Hannibal,  Linus, 484, 82.56, , , GER, Germany, , , , , , , , , , 
Depriest,  Brooklyn, 485, 82.24, Volcom | , 14, USA, United States, Regular, , Rocklin, , , , , , , 
Fujiwara,  Yuki, 486, 82.09, , , JPN, Japan, , , , , , , , , , 
Barin,  Cesar, 487, 82.06, , , FRA, France, , , , , , , , , , 
Girotto,  Cesare Emanuele, 488, 81.91, , , ITA, Italy, , , , , , , , , , 
Nickel,  Jacob, 489, 81.85, , , CAN, Canada, , , , , , , , , , 
Krall,  Timo, 490, 81.72, , , AUT, Austria, , , , , , , , , , 
Eldood,  Kamal, 491, 81.37, , , CAN, Canada, , , , , , , , , , 
Soic,  Mauro, 492, 80.98, , , CRO, CRO, , , , , , , , , , 
Plur De La Rosa,  Joao, 493, 80.69, , 10, GER, Germany, , , , , , , , , , 
Mikalsen Ostby,  Simon, 494, 80.63, , , NOR, Norway, , , , , , , , , , 
Chen,  Maxson, 495, 80.36, , , AUS, Australia, , , , , , , , , , 
Buraud,  Jules, 496, 79.85, , , FRA, France, , , , , , , , , , 
Golinczak,  Jan, 497, 79.82, , 13, POL, Poland, Goofy, , Warsaw, , , , , , , 
Hamilton,  Mason, 498, 79.62, , , CAN, Canada, , , , , , , , , , 
Ernst,  Wyatt, 499, 79.51, , , CAN, Canada, , , , , , , , , , 
Magee,  Chris, 500, 78.83, , , USA, United States, , , , , , , , , , 
Lebedev,  Maxim, 501, 78.8, , , CZE, Czech Republic, , , , , , , , , , 
Ostapovich,  Kale, 502, 78.77, , , CAN, Canada, , , , , , , , , , 
Jovic,  Todor, 503, 78.4, , , SRB, Serbia, , , , , , , , , , 
Kelly,  Connor, 504, 78.39, , , USA, United States, , , , , , , , , , 
Melville Ives,  Cam, 505, 78.05, , , NZL, New Zealand, , , , , , , , , , 
Karoliussen,  Petter, 506, 77.97, , , NOR, Norway, , , , , , , , , , 
Inman,  Ethan, 507, 77.91, , , CAN, Canada, , , , , , , , , , 
Kroell,  Jonas, 508, 77.69, , , AUT, Austria, , , , , , , , , , 
Pizarro,  Pedro, 509, 77.62, , , CHI, CHI, , , , , , , , , , 
Yonemura,  Toranosuke, 510, 77.34, , , JPN, Japan, , , , , , , , , , 
Lemke,  Derek, 511, 77.15, , , USA, United States, , , , , , , , , , 
Rustad,  Markus, 512, 77.02, , 24, NOR, Norway, Regular, , Oslo, , , , , , , 
Pfrommer,  Paul, 513, 76.95, , , GER, Germany, , , , , , , , , , 
Argue,  Chase, 514, 76.93, , , CAN, Canada, , , , , , , , , , 
Pajer,  Mikolas, 515, 76.81, Analog | Anon Optics | Burton Snowboards | , 23, CZE, Czech Republic, Goofy, , , , , , , , , 
Karahasanovic,  Amar, 516, 76.5, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Kim,  Hyobin, 517, 76.38, , , KOR, Korea, Republic of, , , , , , , , , , 
Wilson,  Indiana, 518, 76.23, , , CAN, Canada, , , , , , , , , , 
Kaemingh,  Carter, 519, 76.08, , , CAN, Canada, , , , , , , , , , 
Jukola,  Ville, 520, 75.88, , , FIN, Finland, , , , , , , , , , 
Billiet,  Niels, 521, 75.55, , , BEL, Belgium, , , , , , , , , , 
Ahonen,  Samu, 522, 75.44, , , FIN, Finland, , , , , , , , , , 
Yoshida,  Teruki, 523, 75.41, , , JPN, Japan, , , , , , , , , , 
Dale Nyqvist,  Alexander, 524, 75.08, , , NOR, Norway, , , , , , , , , , 
Brandsoy,  Jalen, 525, 74.16, , , USA, United States, , , , , , , , , , 
Moore,  Lewis, 526, 74.05, , , GBR, United Kingdom, , , , , , , , , , 
Bender,  Maximilian, 527, 73.75, , , GER, Germany, , , , , , , , , , 
Arason,  Birkir Thor, 528, 73.73, , , ISL, Iceland, , , , , , , , , , 
Steffensen,  Lasse, 529, 73.48, , , NOR, Norway, , , , , , , , , , 
Deriban,  Karlo, 530, 73.47, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Gietzler,  Harald, 531, 73.4, , , AUT, Austria, , , , , , , , , , 
Paulicek,  Daniel, 532, 73.26, , 27, CZE, Czech Republic, , , , , , , , , , 
Ozturk,  Edis, 533, 72.52, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Schiele,  Tate, 534, 72.52, , , CAN, Canada, , , , , , , , , , 
Fukami,  Keita, 535, 71.93, , , JPN, Japan, , , , , , , , , , 
Leuenberger,  Lukas, 536, 71.85, , , SUI, Switzerland, , , , , , , , , , 
Campbell,  Cobi, 537, 71.42, , , CAN, Canada, , , , , , , , , , 
Hughes,  Jet, 538, 71.4, , , NZL, New Zealand, , , , , , , , , , 
Springinsfeld,  Nahuel, 539, 71.18, , , ARG, Argentina, , , , , , , , , , 
Lee,  Kwang Ki, 539, 71.18, , 27, KOR, Korea, Republic of, Goofy, 155cm, Gyeonggi-Do, , , , , , , 
Downs,  Jayce, 541, 70.68, , , CAN, Canada, , , , , , , , , , 
Wrobel,  Evan, 542, 70.42, , , USA, United States, , , , , , , , , , 
Landmark,  Zebastian, 543, 70.03, 32 Snowboard Boots | Lib Technologies | Union Bindings | , 29, SWE, Sweden, Regular, 189, Leksand, kläppen, , , , , , 
Couderc,  Baptiste, 544, 69.73, , , FRA, France, , , , , , , , , , 
Vebra,  Gytis, 545, 69.66, , , LTU, Lithuania, , , , , , , , , , 
Hagen,  Haavard, 546, 69.47, , , NOR, Norway, , , , , , , , , , 
Ikola,  Ville, 547, 68.95, , , FIN, Finland, , , , , , , , , , 
Levy,  Griffin, 548, 68.93, , , CAN, Canada, , , , , , , , , , 
Bergantino,  Charlie, 549, 68.88, , , USA, United States, , , , , , , , , , 
Vincent,  Joyal, 550, 68.86, , , CAN, Canada, , , , , , , , , , 
Vogel,  Thom, 551, 68.8, , , NED, NED, , , , , , , , , , 
Muresan,  Wesley, 552, 68.58, , , USA, United States, , , , , , , , , , 
Banados,  Vicente, 553, 68.31, , , CHI, CHI, , , , , , , , , , 
Hiraoka,  Keitaro, 554, 67.81, , 21, JPN, Japan, Regular, 160cm, Osaka, Whistler, , https://www.facebook.com/profile.php?id=100005018760366&fref=ts, , , , 
Repo,  Kalle, 555, 67.52, , , FIN, Finland, , , , , , , , , , 
Toews,  Jeremy, 556, 67.51, , , CAN, Canada, , , , , , , , , , 
Guseli,  Valentino, 557, 66.67, Never Summer | Volcom | , 15, AUS, Australia, Regular, , Red Hill, , , , , , , 
Winkler,  Nico, 557, 66.67, , 18, AUT, Austria, Regular, , Jenbach, Ziller Valley, nicowinkler.com, , , , , 
Bothe,  Niclas, 557, 66.67, , 18, GER, Germany, Goofy, , , , , , , , , 
Hill,  Kael, 557, 66.67, DC | Endeavor | Spy | , 30, CAN, Canada, Goofy, 5ft.7, Cochrane, , , , , , , 
Biogradlic,  Faris, 557, 66.67, , , BIH, Bosnia and Herzegovina, , , , , , , , , , 
Adams,  Jake, 557, 66.67, , , CAN, Canada, , , , , , , , , , 
Tagliaferro,  Nahuel, 563, 66.61, , , AND, Andorra, , , , , , , , , , 
Bietenholz,  Leo, 564, 66.38, , , SUI, Switzerland, , , , , , , , , , 
Finnsson,  Kolbeinn Thor, 565, 66.29, , , ISL, Iceland, , , , , , , , , , 
Strobel,  Rhys, 566, 65.67, , , CAN, Canada, , , , , , , , , , 
Jamieson,  Rocco, 567, 65.64, , , NZL, New Zealand, , , , , , , , , , 
Garandel,  Liam, 568, 65.49, , , FRA, France, , , , , , , , , , 
Sverresvold,  Julian, 569, 65.43, , , NOR, Norway, , , , , , , , , , 
Konuma,  Haruka, 570, 65.17, , , JPN, Japan, , , , , , , , , , 
Edelman,  Stefan Vladislav, 571, 65.03, , , SRB, Serbia, , , , , , , , , , 
Schuetz,  Nicolas, 572, 64.9, , , SUI, Switzerland, , , , , , , , , , 
Rokosh,  Max, 573, 64.58, , , CAN, Canada, , , , , , , , , , 
Kakimoto,  Yua, 574, 64.31, , , JPN, Japan, , , , , , , , , , 
Yanez,  Benjamin, 575, 64.07, , 17, CHI, CHI, , , , , , , , , , 
Hoenie,  Nolan, 576, 63.66, , , USA, United States, , , , , , , , , , 
Perez Guerra,  Ignasio, 577, 63.57, , , AND, Andorra, , , , , , , , , , 
Urquhart,  Karl, 578, 63.07, , , CAN, Canada, , , , , , , , , , 
Dammert,  Michael, 579, 63.04, , , GER, Germany, , , , , , , , , , 
Skenderovski,  Bojan, 580, 62.63, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
NDOUMBE MOUKOURI,  Natan, 581, 62.38, , 15, FRA, France, , , Meauzac, , , , , , , 
Fawcett,  Sam, 582, 62.03, , , CAN, Canada, , , , , , , , , , 
Yasue,  Shoki, 583, 61.68, , , JPN, Japan, , , , , , , , , , 
Gudmundsson,  Astvaldur Ari, 584, 61.59, , , ISL, Iceland, , , , , , , , , , 
Choi,  Yoonjae, 585, 61.55, , , KOR, Korea, Republic of, , , , , , , , , , 
Chen,  Vinson, 585, 61.55, , , AUS, Australia, , , , , , , , , , 
Bergstrom,  Gunnar, 587, 61.18, , , USA, United States, , , , , , , , , , 
Cerrato,  Leonardo, 588, 60.94, , , AUT, Austria, , , , , , , , , , 
Mahoney,  Aidan, 589, 60.89, , , USA, United States, , , , , , , , , , 
Hunter,  Evan, 590, 60.83, , , CAN, Canada, , , , , , , , , , 
Hosefros,  Keegan, 591, 60.75, Dragon | Ride Snowboards | , 21, USA, United States, Regular, 135, Truckee, Sugarbush| Vermont, , Keegan Hosefros, , , , 
Le Fur,  Honorio, 592, 60.73, , , FRA, France, , , , , , , , , , 
Nishizawa,  Tenshin, 593, 60.47, , , JPN, Japan, , , , , , , , , , 
Arnason,  Tomas Orri, 594, 60.19, , , ISL, Iceland, , , , , , , , , , 
Bremner,  Findlay, 595, 59.94,  | , 21, GBR, United Kingdom, Goofy, 5ft 9, Aberdeen, Cairngorm Mountains| Scotland, www.finbremner.com, , www.twitter.com/finbremner, , , 
Avtaneev,  Nikita, 596, 59.82, Burton Snowboards | , 25, RUS, Russian Federation, Goofy, , , , , , , , , 
Pavlakos,  Nikolas, 597, 59.7, , , CAN, Canada, , , , , , , , , , 
Silverthorn,  Cole, 598, 59.68, , 17, CAN, Canada, Goofy, , , , , , , , , 
McCarthy,  Matthew, 599, 59.62, , , CAN, Canada, , , , , , , , , , 
Shegelman,  Josh, 600, 59.54, , , CAN, Canada, , , , , , , , , , 
Buttle,  Finlay, 601, 59.37, , , GBR, United Kingdom, , , , , , , , , , 
Saito,  Ryoma, 602, 59.19, , , JPN, Japan, , , , , , , , , , 
Peter,  Lotz, 603, 59.1, , , GER, Germany, , , , , , , , , , 
Andrasovich,  Uladzislau, 604, 59.08, , , BLR, Belarus, , , , , , , , , , 
Jozsa,  Martin, 605, 59.01, , , SVK, Slovakia, , , , , , , , , , 
Seymour,  Bailey, 606, 58.93, , 18, CAN, Canada, , , , , , , , , , 
Hed,  Olle, 607, 58.88, , , SWE, Sweden, , , , , , , , , , 
SELZLER,  Gage, 608, 58.83, , , CAN, Canada, , , , , , , , , , 
Fedorowycz,  Lys, 609, 58.69, , , USA, United States, , , , , , , , , , 
Thoroddsson,  Arnor Dagur, 610, 58.68, , , ISL, Iceland, , , , , , , , , , 
Jones,  Dayton, 611, 58.66, , , CAN, Canada, , , , , , , , , , 
Davidsson,  Aron Snorri, 612, 58.61, , , ISL, Iceland, , , , , , , , , , 
Baikie,  Zak, 613, 58.38, , , NZL, New Zealand, , , , , , , , , , 
Hagen,  Ole Christian, 614, 57.77, DC | Von Zipper | , 25, NOR, Norway, Regular, 175 cm, Kongsberg, Kongsberg, , , , , , 
Hernler,  Phillip, 615, 57.64, , , AUT, Austria, , , , , , , , , , 
Melville Ives,  Campbell, 616, 57.59, , , NZL, New Zealand, , , , , , , , , , 
George,  Connor, 617, 57.56, , , CAN, Canada, , , , , , , , , , 
Sequeira,  Gabriel, 618, 57.52, , , CAN, Canada, , , , , , , , , , 
Tynan,  Liam, 619, 57.48, , , GBR, United Kingdom, , , , , , , , , , 
Kyriazis,  Aris, 620, 57.34, , , GER, Germany, , , , , , , , , , 
Lopez Lasierra,  Francho, 621, 57.27, , , ESP, Spain, , , , , , , , , , 
Bollock,  Ryder, 622, 56.81, , , USA, United States, , , , , , , , , , 
Fukada,  Nagisa, 623, 56.72, , , JPN, Japan, , , , , , , , , , 
Albrecht,  London, 624, 56.63, , , USA, United States, , , , , , , , , , 
Landmark,  Philip, 625, 56.63, 32 Snowboard Boots | Gnu | Icon Snowboards | , 28, SWE, Sweden, Regular, , Leksand, , , , , , , 
Stojak,  Tino, 626, 56.46, , , CRO, CRO, , , , , , , , , , 
Woodworth,  Kaleb, 627, 56.02, , , CAN, Canada, , , , , , , , , , 
Henderson,  Garrett, 628, 55.61, , , USA, United States, , , , , , , , , , 
Reimer,  Neko, 629, 55.55, , , CAN, Canada, , , , , , , , , , 
Niwa,  Jake, 630, 55.54, , , CAN, Canada, , , , , , , , , , 
Brown,  Noah, 631, 55.54, , , USA, United States, , , , , , , , , , 
Djunaedi,  Adam, 632, 55.43, , , CAN, Canada, , , , , , , , , , 
Kutmon,  Jonathan, 633, 55.33, , , AUT, Austria, , , , , , , , , , 
Volopich,  Daniel, 634, 55.23, , , CZE, Czech Republic, , , , , , , , , , 
Smits,  Sam, 635, 55.11, , , CAN, NED, , , , , , , , , , 
Deltrap,  Nicky, 636, 54.94, , , NED, NED, , , , , , , , , , 
Kiyomizu,  Shuhei, 637, 54.84, , , JPN, Japan, , , , , , , , , , 
Iwasaki,  Kota, 638, 54.76, , , JPN, Japan, , , , , , , , , , 
Ogawa,  Yuma, 639, 54.6, , 29, JPN, Japan, Regular, 169, Yokohama, hotakabokujyou skiing area, , , , , , 
Willemsen,  Jesse, 640, 54.49, , , NED, NED, , , , , , , , , , 
Krogt  Van Der,  Mitchell, 641, 54.22, , , NED, NED, , , , , , , , , , 
Tomabechi,  Shu, 642, 54.19, , , JPN, Japan, , , , , , , , , , 
Sonne,  Konrad, 643, 54.12, , , AUT, Austria, , , , , , , , , , 
Banados,  Felipe, 644, 53.77, , , CHI, CHI, , , , , , , , , , 
Ito,  Yuki, 645, 53.74, , , JPN, Japan, , , , , , , , , , 
Minkov,  Mihail, 646, 53.35, , 16, BUL, BUL, , , , , , , , , , 
Kongshem,  Haavard, 647, 52.97, , , NOR, Norway, , , , , , , , , , 
Hasler,  Jonas, 648, 52.82, , , SUI, Switzerland, , , , , , , , , , 
McHatten,  Colton, 649, 52.63, , , CAN, Canada, , , , , , , , , , 
Skandera,  Matyas, 650, 52.6, , , CZE, Czech Republic, , , , , , , , , , 
Bergmann,  Darek, 651, 52.41,  | , 29, CZE, Czech Republic, Regular, , Príchovice, , , , , , , 
Petrovski,  Marko, 652, 52.23, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
Gustaffson,  Tim, 653, 51.53, , , NOR, Norway, , , , , , , , , , 
Mendolia,  Facundo Catriel, 654, 51.38, , , ARG, Argentina, , , , , , , , , , 
Montalvo,  Trey, 655, 51.3, , , CAN, Canada, , , , , , , , , , 
Luengo,  Esteeban, 656, 51.07, , , ARG, Argentina, , , , , , , , , , 
Carlund,  Cornelia, 657, 51.05, , , SWE, Sweden, , , , , , , , , , 
Ozahata,  Sora, 658, 51.03, , , JPN, Japan, , , , , , , , , , 
Jenssen,  Bjorn Johan, 659, 50.95, , , NOR, Norway, , , , , , , , , , 
Heninger,  Dexter, 660, 50.67, , , CAN, Canada, , , , , , , , , , 
Arnarsson,  Skirnir Dadi, 661, 50.46, , , ISL, Iceland, , , , , , , , , , 
Davidson,  Barack, 662, 50.41, , , CAN, Canada, , , , , , , , , , 
Bauer,  Raphael, 663, 50.39, , , FRA, France, , , , , , , , , , 
Peter,  Jakob, 664, 50.24, , , GER, Germany, , , , , , , , , , 
Odinsson,  Hafsteinn Heimir, 665, 50.23, , , ISL, Iceland, , , , , , , , , , 
Delago,  Lukas, 666, 50.21, , , GER, Germany, , , , , , , , , , 
Legac,  Fran, 667, 50.17, , , CRO, CRO, , , , , , , , , , 
Wiffen,  Jadon, 668, 50.09, , , CAN, Canada, , , , , , , , , , 
Asmundsson,  Einar Agust, 669, 49.95, , , ISL, Iceland, , , , , , , , , , 
Obradovic,  Petar, 670, 49.88, , , SRB, Serbia, , , , , , , , , , 
Jiang,  Xinjie, 671, 49.86, , , CHN, China, , , , , , , , , , 
Angstl,  Linus, 672, 49.8, , , GER, Germany, , , , , , , , , , 
Copenhaver,  Clay, 673, 49.57, , , USA, United States, , , , , , , , , , 
Sladic,  Aljaz, 674, 49.57, , , SLO, SLO, , , , , , , , , , 
Steendam,  Cole, 675, 49.53, , , CAN, Canada, , , , , , , , , , 
Giovannini,  Edoardo, 676, 49.51, , , ITA, Italy, , , , , , , , , , 
Choi,  Seongjun, 677, 49.25, , , KOR, Korea, Republic of, , , , , , , , , , 
Radulovic,  Ognjen, 678, 49.22, , , SRB, Serbia, , , , , , , , , , 
Rodriguez,  Xavier, 679, 49.09, , 25, AND, Andorra, , , , , , , , , , 
Grkovic,  Vladan, 680, 48.94, , , SRB, Serbia, , , , , , , , , , 
Westfall,  Jake, 681, 48.93, , , USA, United States, , , , , , , , , , 
Strobel,  Seth, 682, 48.7, , , CAN, Canada, , , , , , , , , , 
Layton,  Kurt, 683, 48.59, , 26, CAN, Canada, , , , , , , , , , 
Masuda,  Riku, 683, 48.59, , , JPN, Japan, , , , , , , , , , 
Sato,  Kai, 685, 48.52, , , JPN, Japan, , , , , , , , , , 
Bjorgvinsson,  Arnar, 686, 48.47, , , ISL, Iceland, , , , , , , , , , 
Armbruster,  Jack, 687, 48.26, , , USA, United States, , , , , , , , , , 
Baez,  Gonzalo Daniel, 688, 48.13, , , ARG, Argentina, , , , , , , , , , 
Tarmann,  Marcel, 689, 48.13, , , AUT, Austria, , , , , , , , , , 
Kordiak,  David, 690, 48.12, , 23, SVK, Slovakia, , , , , , , , , , 
Gastl,  Angelo, 691, 48.07, , , AUT, Austria, , , , , , , , , , 
Mazet Brown,  Txema, 692, 47.73, , , NZL, New Zealand, , , , , , , , , , 
Hui,  Yining, 693, 47.72, , , CHN, China, , , , , , , , , , 
Komsi,  Juuse, 694, 47.71, , , FIN, Finland, , , , , , , , , , 
Osmond,  Tommy, 695, 47.68, , , GBR, United Kingdom, , , , , , , , , , 
Clara Ventosa,  Jan, 696, 47.59, , , ESP, Spain, , , , , , , , , , 
Holland,  Hayden, 697, 47.54, , , CAN, Canada, , , , , , , , , , 
Bubic,  Leon, 698, 47.49, , , CRO, CRO, , , , , , , , , , 
Valkenborgh,  Niels, 699, 47.34, , , BEL, Belgium, , , , , , , , , , 
Fux,  Marc, 700, 46.98, , , GER, Germany, , , , , , , , , , 
Eythorsson,  Asgeir Bjarni, 701, 46.75, , , ISL, , , , , , , , , , , 
Sutter,  Gian Andrea, 702, 46.74,  | , 21, SUI, , Goofy, 1.80, Pfäffikon, Scuol Switzerland, , , , , , 
Koenig,  Lennox, 703, 46.55, , , AUT, , , , , , , , , , , 
Wynnyk,  Solomon, 704, 46.44, , , CAN, , , , , , , , , , , 
Strolz,  Timo, 705, 46.44, , , SUI, , , , , , , , , , , 
Ernst,  Koy, 706, 46.35, , , CAN, , , , , , , , , , , 
Bunce,  Lewis, 707, 46.27, , , CAN, , , , , , , , , , , 
Viscarro,  Augusto, 708, 46.19, , , ARG, , , , , , , , , , , 
Haemaelaeinen,  Elias, 709, 46.06, , , FIN, , , , , , , , , , , 
Zoega,  Svavar, 710, 45.91, , , ISL, , , , , , , , , , , 
Petrov,  Vladislav, 711, 45.89, , , RUS, , , , , , , , , , , 
Shimizu,  Toma, 712, 45.79, , , JPN, , , , , , , , , , , 
Doumos,  Ioannis, 713, 45.71, , , GRE, , , , , , , , , , , 
Asaga,  Shimpei, 714, 45.64, Von Zipper | , 30, JPN, , Regular, 176cm, , TOKYO, sbn.japaho.com/sbn/blog/shimpei/, , www.twitter.com/shimpei_asaga, , , 
Cookshaw,  Simon, 715, 45.44, , , CAN, , , , , , , , , , , 
Lehner,  Elias, 716, 45.13, , , SUI, , , , , , , , , , , 
Farnsworth,  Philip, 717, 45.12, , , USA, , , , , , , , , , , 
Lee,  Byung-Yun, 718, 44.98, , , KOR, , , , , , , , , , , 
Matt,  Landen, 719, 44.6, , , USA, , , , , , , , , , , 
Arutyunov,  Garik, 720, 44.55, , , BEL, , , , , , , , , , , 
Teixeira,  Joao, 721, 44.54, , , BRA, , , , , , , , , , , 
Mueller,  Florian, 722, 44.54, , , GER, , , , , , , , , , , 
Takahashi,  Kotaro, 723, 44.49, , , JPN, , , , , , , , , , , 
Landreth,  Luke, 724, 44.42, , , CAN, , , , , , , , , , , 
Shelly,  Anthony, 725, 44.3, , , CAN, , , , , , , , , , , 
Wysock,  Brogan, 726, 44.14, , , USA, , , , , , , , , , , 
Lunde,  Benjamin, 727, 44.07, , , NOR, , , , , , , , , , , 
BAILLY SALIN,  Maxime, 728, 43.84, , , FRA, , , , , , , , , , , 
Agnew,  Joshua, 729, 43.61, , , AUS, , , , , , , , , , , 
Baribault,  Tucker, 730, 43.18, , , USA, , , , , , , , , , , 
Ahola,  Niko, 731, 43.16, , , FIN, , , , , , , , , , , 
Hofberger,  Tim, 732, 43.13, , , GER, , , , , , , , , , , 
McDaniel,  Malem, 733, 43.03, , , USA, , , , , , , , , , , 
Sarsland,  Logan, 734, 43.01, , , USA, , , , , , , , , , , 
Maligoj,  Lenart, 735, 42.61, , , SLO, , , , , , , , , , , 
Spence,  MacKay, 736, 42.6, , , CAN, , , , , , , , , , , 
Rudgley,  Jordan, 737, 42.19, , , NZL, , , , , , , , , , , 
Apelland Svendsen,  Peder, 738, 41.92, , , NOR, , , , , , , , , , , 
Ferrell,  Lyon, 739, 41.92, , , NOR, , , , , , , , , , , 
Ayyobi,  Zacharyah, 740, 41.91, , , CAN, , , , , , , , , , , 
Miltimore,  Jacob, 741, 41.85, , 17, CAN, , , , , , , , , , , 
Kurstatscher,  Tim, 742, 41.7, , , GER, , , , , , , , , , , 
Wang,  Liwen, 751, 40.67, , , CHN, , , , , , , , , , , 
Wheeler,  Ben, 752, 39.94, , , CAN, , , , , , , , , , , 
Harvey-Smith,  Hayden, 753, 39.72, , , GBR, , , , , , , , , , , 
Krauer,  Jonas, 754, 39.7, , , CZE, , , , , , , , , , , 
Tsurusawa,  Yuto, 755, 39.65, , , JPN, , , , , , , , , , , 
Qin,  Longen, 756, 39.44, , , CHN, , , , , , , , , , , 
Gruber,  Patrick, 757, 38.88, Smith | Voelkl | , , AUT, , , , , , , , , , , 
Luchkin,  Dmytro, 758, 38.84, , , UKR, , , , , , , , , , , 
Seljenes,  Liam, 759, 38.71, , , NOR, , , , , , , , , , , 
Shaw,  Noah, 760, 38.68, , , CAN, , , , , , , , , , , 
Wood,  Max, 761, 38.66, , , CAN, , , , , , , , , , , 
Cavallo,  Gabriele, 762, 38.65, , , ITA, , , , , , , , , , , 
Olivieri,  Federico, 763, 38.4, , , ITA, , , , , , , , , , , 
Kelly,  Kaden, 764, 38.39, , , USA, , , , , , , , , , , 
Olafsson,  Bjarki Freyr, 764, 38.39, , , ISL, , , , , , , , , , , 
Nojiri,  Tomoyoshi, 766, 38.35, , , JPN, , , , , , , , , , , 
Van Tittelboom,  Ward, 767, 38.23, , , BEL, , , , , , , , , , , 
Marchesi,  Luis, 768, 37.86, , , SUI, , , , , , , , , , , 
Gaces,  Jonas, 769, 37.62, , , CAN, , , , , , , , , , , 
Stastny,  Oliver, 770, 37.49, , , CZE, , , , , , , , , , , 
Grimm,  Jasper, 771, 37.47, , , USA, , , , , , , , , , , 
Lindroos,  Axel, 772, 37.39, , , FIN, , , , , , , , , , , 
Gibson,  Cal, 773, 37.35, , , USA, , , , , , , , , , , 
Crossmon,  Owen, 774, 37.27, , , USA, , , , , , , , , , , 
Bormann,  Philipp, 775, 37.24, , , GER, , , , , , , , , , , 
Mattart,  Oscar, 776, 37.23, , , BEL, , , , , , , , , , , 
Brennan,  Eryll, 777, 37.21, , , USA, , , , , , , , , , , 
Ellingsen Kjaerby,  Fredrik, 778, 37.13, , , NOR, , , , , , , , , , , 
Dicks,  Connor, 779, 37.11, , , USA, , , , , , , , , , , 
Tsitsos,  Christos, 780, 37.04, , , GRE, , , , , , , , , , , 
Ewert,  Lucas, 781, 37.04, , , CAN, , , , , , , , , , , 
Soudunsaari,  Niklas, 782, 36.87, , , FIN, , , , , , , , , , , 
Kimura,  Yuto, 783, 36.72, , , JPN, , , , , , , , , , , 
Kerschhackl,  Marco, 784, 36.61, , 20, ITA, , , , Bardolino, , , , , , , 
Terashima,  Katsuyuki, 785, 36.58, , , JPN, , , , , , , , , , , 
Georgalli,  Oscar, 786, 36.45, , , NZL, , , , , , , , , , , 
Sakamoto,  Rento, 787, 36.44, , , JPN, , , , , , , , , , , 
Markov,  Nikolay, 787, 36.44, , , RUS, , , , , , , , , , , 
