Key,lastName,firstName_nospace, firstName, position, points, sponsors, age, nationality, nationality_full, stance, height, residence, resort, website, facebook, twitter ,,,,
ChristensenChristian,Christensen,Christian,  Christian,444,93.11, , , NOR, Norway, , , , , , , , , , ,
SaitoYuto,Saito,Yuto,  Yuto,445,92.36, , , JPN, Japan, , , , , , , , , , ,
SitziaLeonardo,Sitzia,Leonardo,  Leonardo,446,92.3, , , GER, Germany, , , , , , , , , , ,
TekslePetter,Teksle,Petter,  Petter,447,91.99, , , NOR, Norway, , , , , , , , , , ,
ZverinaPetr,Zverina,Petr,  Petr,448,91.29, , , CZE, Czech Republic, , , , , , , , , , ,
JedrejJoseph,Jedrej,Joseph,  Joseph,449,91.1, , , CAN, Canada, , , , , , , , , , ,
AlexisGenest,Alexis,Genest,  Genest,450,91.06, , , CAN, Canada, , , , , , , , , , ,
MontalvoBlake,Montalvo,Blake,  Blake,451,90.87, , , CAN, , , , , , , , , , , ,
DuncanRoahan,Duncan,Roahan,  Roahan,452,90.64, , , GBR, , , , , , , , , , , ,
VeraDante,Vera,Dante,  Dante,453,90.18, , , ARG, , , , , , , , , , , ,
OkiFuki,Oki,Fuki,  Fuki,454,90.11, , , JPN, , , , , , , , , , , ,
MalcolmGeorge,Malcolm,George,  George,455,89.97, , , CAN, , , , , , , , , , , ,
ParkinsonJesse,Parkinson,Jesse,  Jesse,455,89.97, Go Pro Cameras | Quiksilver | Skullcandy | ,15, AUS, , Regular, , , , , , , , , ,
De BaetsRune,De Baets,Rune,  Rune,457,89.85, , , BEL, , , , , , , , , , , ,
BerghornGavin,Berghorn,Gavin,  Gavin,458,88.76, , , USA, , , , , , , , , , , ,
BridgmanNicholas,Bridgman,Nicholas,  Nicholas,459,88.47, Northwave | Smith | ,27, ITA, , Goofy,179, Jesolo Lido, Seiser Alm, , Nicholas Bridgman, , , , ,
AxelssonFelix,Axelsson,Felix,  Felix,460,88.23, , , SWE, , , , , , , , , , , ,
PareNathan,Pare,Nathan,  Nathan,461,88.18, , , USA, , , , , , , , , , , ,
DelaurierTyson,Delaurier,Tyson,  Tyson,462,87.85, , , CAN, , , , , , , , , , , ,
Rawdon-HarrisEthan,Rawdon-Harris,Ethan,  Ethan,463,87.31, , , CAN, , , , , , , , , , , ,
ScanlandCyrus,Scanland,Cyrus,  Cyrus,464,87.17, , , CAN, , , , , , , , , , , ,
HaefligerLars,Haefliger,Lars,  Lars,465,87.12, , , SUI, , , , , , , , , , , ,
JustinPerron,Justin,Perron,  Perron,466,87.08, , , CAN, , , , , , , , , , , ,
HenricksenDillon,Henricksen,Dillon,  Dillon,467,86.99, , , USA, , , , , , , , , , , ,
TomanVaclav,Toman,Vaclav,  Vaclav,468,86.19, ,17, CZE, , Goofy, , Prague, , , , , , , ,
SchwierschLeonhard,Schwiersch,Leonhard,  Leonhard,469,85.26, , , GER, , , , , , , , , , , ,
KreienbuehlGabriel Tim,Kreienbuehl,Gabriel Tim,  Gabriel Tim,470,85.1, , , SUI, , , , , , , , , , , ,
MukaiTakeru,Mukai,Takeru,  Takeru,471,84.71, , , JPN, , , , , , , , , , , ,
AlkefjaerdDaniel,Alkefjaerd,Daniel,  Daniel,472,84.65, Dr.Zipe | ,23, SWE, , Regular, , , , , , , , , ,
LaineJuho,Laine,Juho,  Juho,473,84.44, , , FIN, , , , , , , , , , , ,
ZabelaSiarhei,Zabela,Siarhei,  Siarhei,474,84.16, , , BLR, , , , , , , , , , , ,
VargdalSigurd,Vargdal,Sigurd,  Sigurd,475,84.11, , , NOR, , , , , , , , , , , ,
Foord-KelceyJames,Foord-Kelcey,James,  James,476,83.79, , , CAN, , , , , , , , , , , ,
HicksKieran,Hicks,Kieran,  Kieran,477,83.79, Lib Technologies | Von Zipper | ,10, CAN, , Goofy, , , , , , , , , ,
ToddConnor,Todd,Connor,  Connor,478,83.7, , , CAN, , , , , , , , , , , ,
MacZugowskiJedrzej,MacZugowski,Jedrzej,  Jedrzej,479,83.38, , , POL, , , , , , , , , , , ,
Ulseth SylteVegard,Ulseth Sylte,Vegard,  Vegard,480,83.36, , , NOR, , , , , , , , , , , ,
MacIsaacJordan,MacIsaac,Jordan,  Jordan,481,83.23, , , CAN, , , , , , , , , , , ,
WarrenBo,Warren,Bo,  Bo,482,82.96, Lib Technologies | ,23, USA, , , , , , , , , , , ,
HannibalLinus,Hannibal,Linus,  Linus,483,82.56, , , GER, , , , , , , , , , , ,
DepriestBrooklyn,Depriest,Brooklyn,  Brooklyn,484,82.24, Volcom | ,14, USA, , Regular, , Rocklin, , , , , , , ,
FujiwaraYuki,Fujiwara,Yuki,  Yuki,485,82.09, , , JPN, , , , , , , , , , , ,
BarinCesar,Barin,Cesar,  Cesar,486,82.06, , , FRA, , , , , , , , , , , ,
GirottoCesare Emanuele,Girotto,Cesare Emanuele,  Cesare Emanuele,487,81.91, , , ITA, , , , , , , , , , , ,
NickelJacob,Nickel,Jacob,  Jacob,488,81.85, , , CAN, , , , , , , , , , , ,
KrallTimo,Krall,Timo,  Timo,489,81.72, , , AUT, , , , , , , , , , , ,
EldoodKamal,Eldood,Kamal,  Kamal,490,81.37, , , CAN, , , , , , , , , , , ,
SoicMauro,Soic,Mauro,  Mauro,491,80.98, , , CRO, , , , , , , , , , , ,
Plur De La RosaJoao,Plur De La Rosa,Joao,  Joao,492,80.69, ,10, GER, , , , , , , , , , , ,
Mikalsen OstbySimon,Mikalsen Ostby,Simon,  Simon,493,80.63, , , NOR, , , , , , , , , , , ,
ChenMaxson,Chen,Maxson,  Maxson,494,80.36, , , AUS, , , , , , , , , , , ,
BuraudJules,Buraud,Jules,  Jules,495,79.85, , , FRA, , , , , , , , , , , ,
GolinczakJan,Golinczak,Jan,  Jan,496,79.82, ,13, POL, , Goofy, , Warsaw, , , , , , , ,
HamiltonMason,Hamilton,Mason,  Mason,497,79.62, , , CAN, , , , , , , , , , , ,
ErnstWyatt,Ernst,Wyatt,  Wyatt,498,79.51, , , CAN, , , , , , , , , , , ,
MageeChris,Magee,Chris,  Chris,499,78.83, , , USA, , , , , , , , , , , ,
LebedevMaxim,Lebedev,Maxim,  Maxim,500,78.8, , , CZE, , , , , , , , , , , ,
OstapovichKale,Ostapovich,Kale,  Kale,501,78.77, , , CAN, Canada, , , , , , , , , , ,
JovicTodor,Jovic,Todor,  Todor,502,78.4, , , SRB, Serbia, , , , , , , , , , ,
KellyConnor,Kelly,Connor,  Connor,503,78.39, , , USA, United States, , , , , , , , , , ,
Melville IvesCam,Melville Ives,Cam,  Cam,504,78.05, , , NZL, New Zealand, , , , , , , , , , ,
KaroliussenPetter,Karoliussen,Petter,  Petter,505,77.97, , , NOR, Norway, , , , , , , , , , ,
InmanEthan,Inman,Ethan,  Ethan,506,77.91, , , CAN, Canada, , , , , , , , , , ,
KroellJonas,Kroell,Jonas,  Jonas,507,77.69, , , AUT, Austria, , , , , , , , , , ,
PizarroPedro,Pizarro,Pedro,  Pedro,508,77.62, , , CHI, CHI, , , , , , , , , , ,
YonemuraToranosuke,Yonemura,Toranosuke,  Toranosuke,509,77.34, , , JPN, Japan, , , , , , , , , , ,
LemkeDerek,Lemke,Derek,  Derek,510,77.15, , , USA, United States, , , , , , , , , , ,
RustadMarkus,Rustad,Markus,  Markus,511,77.02, ,24, NOR, Norway, Regular, , Oslo, , , , , , , ,
PfrommerPaul,Pfrommer,Paul,  Paul,512,76.95, , , GER, Germany, , , , , , , , , , ,
ArgueChase,Argue,Chase,  Chase,513,76.93, , , CAN, Canada, , , , , , , , , , ,
PajerMikolas,Pajer,Mikolas,  Mikolas,514,76.81, Analog | Anon Optics | Burton Snowboards | ,23, CZE, Czech Republic, Goofy, , , , , , , , , ,
KarahasanovicAmar,Karahasanovic,Amar,  Amar,515,76.5, , , BIH, Bosnia and Herzegovina, , , , , , , , , , ,
KimHyobin,Kim,Hyobin,  Hyobin,516,76.38, , , KOR, Korea, Republic of, , , , , , , , , , 
WilsonIndiana,Wilson,Indiana,  Indiana,517,76.23, , , CAN, Canada, , , , , , , , , , ,
KaeminghCarter,Kaemingh,Carter,  Carter,518,76.08, , , CAN, Canada, , , , , , , , , , ,
JukolaVille,Jukola,Ville,  Ville,519,75.88, , , FIN, Finland, , , , , , , , , , ,
BillietNiels,Billiet,Niels,  Niels,520,75.55, , , BEL, Belgium, , , , , , , , , , ,
AhonenSamu,Ahonen,Samu,  Samu,521,75.44, , , FIN, Finland, , , , , , , , , , ,
YoshidaTeruki,Yoshida,Teruki,  Teruki,522,75.41, , , JPN, Japan, , , , , , , , , , ,
Dale NyqvistAlexander,Dale Nyqvist,Alexander,  Alexander,523,75.08, , , NOR, Norway, , , , , , , , , , ,
BrandsoyJalen,Brandsoy,Jalen,  Jalen,524,74.16, , , USA, United States, , , , , , , , , , ,
MooreLewis,Moore,Lewis,  Lewis,525,74.05, , , GBR, United Kingdom, , , , , , , , , , ,
BenderMaximilian,Bender,Maximilian,  Maximilian,526,73.75, , , GER, Germany, , , , , , , , , , ,
ArasonBirkir Thor,Arason,Birkir Thor,  Birkir Thor,527,73.73, , , ISL, Iceland, , , , , , , , , , ,
SteffensenLasse,Steffensen,Lasse,  Lasse,528,73.48, , , NOR, Norway, , , , , , , , , , ,
DeribanKarlo,Deriban,Karlo,  Karlo,529,73.47, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
GietzlerHarald,Gietzler,Harald,  Harald,530,73.4, , , AUT, Austria, , , , , , , , , , ,
PaulicekDaniel,Paulicek,Daniel,  Daniel,531,73.26, ,27, CZE, Czech Republic, , , , , , , , , , ,
OzturkEdis,Ozturk,Edis,  Edis,532,72.52, , , BIH, Bosnia and Herzegovina, , , , , , , , , , ,
SchieleTate,Schiele,Tate,  Tate,533,72.52, , , CAN, Canada, , , , , , , , , , ,
FukamiKeita,Fukami,Keita,  Keita,534,71.93, , , JPN, Japan, , , , , , , , , , ,
LeuenbergerLukas,Leuenberger,Lukas,  Lukas,535,71.85, , , SUI, Switzerland, , , , , , , , , , ,
CampbellCobi,Campbell,Cobi,  Cobi,536,71.42, , , CAN, Canada, , , , , , , , , , ,
HughesJet,Hughes,Jet,  Jet,537,71.4, , , NZL, New Zealand, , , , , , , , , , ,
SpringinsfeldNahuel,Springinsfeld,Nahuel,  Nahuel,538,71.18, , , ARG, Argentina, , , , , , , , , , ,
LeeKwang Ki,Lee,Kwang Ki,  Kwang Ki,538,71.18, ,27, KOR, Korea, Republic of, Goofy, 155cm, Gyeonggi-Do, , , , , , , 
DownsJayce,Downs,Jayce,  Jayce,540,70.68, , , CAN, Canada, , , , , , , , , , ,
WrobelEvan,Wrobel,Evan,  Evan,541,70.42, , , USA, United States, , , , , , , , , , ,
LandmarkZebastian,Landmark,Zebastian,  Zebastian,542,70.03, 32 Snowboard Boots | Lib Technologies | Union Bindings | ,29, SWE, Sweden, Regular,189, Leksand, kläppen, , , , , , ,
CoudercBaptiste,Couderc,Baptiste,  Baptiste,543,69.73, , , FRA, France, , , , , , , , , , ,
VebraGytis,Vebra,Gytis,  Gytis,544,69.66, , , LTU, Lithuania, , , , , , , , , , ,
HagenHaavard,Hagen,Haavard,  Haavard,545,69.47, , , NOR, Norway, , , , , , , , , , ,
IkolaVille,Ikola,Ville,  Ville,546,68.95, , , FIN, Finland, , , , , , , , , , ,
LevyGriffin,Levy,Griffin,  Griffin,547,68.93, , , CAN, Canada, , , , , , , , , , ,
BergantinoCharlie,Bergantino,Charlie,  Charlie,548,68.88, , , USA, United States, , , , , , , , , , ,
VincentJoyal,Vincent,Joyal,  Joyal,549,68.86, , , CAN, Canada, , , , , , , , , , ,
VogelThom,Vogel,Thom,  Thom,550,68.8, , , NED, NED, , , , , , , , , , ,
MuresanWesley,Muresan,Wesley,  Wesley,551,68.58, , , USA, United States, , , , , , , , , , ,
BanadosVicente,Banados,Vicente,  Vicente,552,68.31, , , CHI, CHI, , , , , , , , , , ,
HiraokaKeitaro,Hiraoka,Keitaro,  Keitaro,553,67.81, ,21, JPN, Japan, Regular, 160cm, Osaka, Whistler, , https://www.facebook.com/profile.php?id=100005018760366&fref=ts, , , , ,
RepoKalle,Repo,Kalle,  Kalle,554,67.52, , , FIN, Finland, , , , , , , , , , ,
ToewsJeremy,Toews,Jeremy,  Jeremy,555,67.51, , , CAN, Canada, , , , , , , , , , ,
GuseliValentino,Guseli,Valentino,  Valentino,556,66.67, Never Summer | Volcom | ,15, AUS, Australia, Regular, , Red Hill, , , , , , , ,
WinklerNico,Winkler,Nico,  Nico,556,66.67, ,18, AUT, Austria, Regular, , Jenbach, Ziller Valley, nicowinkler.com, , , , , ,
BotheNiclas,Bothe,Niclas,  Niclas,556,66.67, ,18, GER, Germany, Goofy, , , , , , , , , ,
HillKael,Hill,Kael,  Kael,556,66.67, DC | Endeavor | Spy | ,30, CAN, Canada, Goofy, 5ft.7, Cochrane, , , , , , , ,
BiogradlicFaris,Biogradlic,Faris,  Faris,556,66.67, , , BIH, Bosnia and Herzegovina, , , , , , , , , , ,
AdamsJake,Adams,Jake,  Jake,556,66.67, , , CAN, Canada, , , , , , , , , , ,
TagliaferroNahuel,Tagliaferro,Nahuel,  Nahuel,562,66.61, , , AND, Andorra, , , , , , , , , , ,
BietenholzLeo,Bietenholz,Leo,  Leo,563,66.38, , , SUI, Switzerland, , , , , , , , , , ,
FinnssonKolbeinn Thor,Finnsson,Kolbeinn Thor,  Kolbeinn Thor,564,66.29, , , ISL, Iceland, , , , , , , , , , ,
StrobelRhys,Strobel,Rhys,  Rhys,565,65.67, , , CAN, Canada, , , , , , , , , , ,
JamiesonRocco,Jamieson,Rocco,  Rocco,566,65.64, , , NZL, New Zealand, , , , , , , , , , ,
SverresvoldJulian,Sverresvold,Julian,  Julian,567,65.43, , , NOR, Norway, , , , , , , , , , ,
KonumaHaruka,Konuma,Haruka,  Haruka,568,65.17, , , JPN, Japan, , , , , , , , , , ,
EdelmanStefan Vladislav,Edelman,Stefan Vladislav,  Stefan Vladislav,569,65.03, , , SRB, Serbia, , , , , , , , , , ,
SchuetzNicolas,Schuetz,Nicolas,  Nicolas,570,64.9, , , SUI, Switzerland, , , , , , , , , , ,
RokoshMax,Rokosh,Max,  Max,571,64.58, , , CAN, Canada, , , , , , , , , , ,
KakimotoYua,Kakimoto,Yua,  Yua,572,64.31, , , JPN, Japan, , , , , , , , , , ,
YanezBenjamin,Yanez,Benjamin,  Benjamin,573,64.07, ,17, CHI, CHI, , , , , , , , , , ,
HoenieNolan,Hoenie,Nolan,  Nolan,574,63.66, , , USA, United States, , , , , , , , , , ,
Perez GuerraIgnasio,Perez Guerra,Ignasio,  Ignasio,575,63.57, , , AND, Andorra, , , , , , , , , , ,
UrquhartKarl,Urquhart,Karl,  Karl,576,63.07, , , CAN, Canada, , , , , , , , , , ,
DammertMichael,Dammert,Michael,  Michael,577,63.04, , , GER, Germany, , , , , , , , , , ,
SkenderovskiBojan,Skenderovski,Bojan,  Bojan,578,62.63, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
FawcettSam,Fawcett,Sam,  Sam,579,62.03, , , CAN, Canada, , , , , , , , , , ,
YasueShoki,Yasue,Shoki,  Shoki,580,61.68, , , JPN, Japan, , , , , , , , , , ,
GudmundssonAstvaldur Ari,Gudmundsson,Astvaldur Ari,  Astvaldur Ari,581,61.59, , , ISL, Iceland, , , , , , , , , , ,
ChoiYoonjae,Choi,Yoonjae,  Yoonjae,582,61.55, , , KOR, Korea, Republic of, , , , , , , , , , 
ChenVinson,Chen,Vinson,  Vinson,582,61.55, , , AUS, Australia, , , , , , , , , , ,
BergstromGunnar,Bergstrom,Gunnar,  Gunnar,584,61.18, , , USA, United States, , , , , , , , , , ,
CerratoLeonardo,Cerrato,Leonardo,  Leonardo,585,60.94, , , AUT, Austria, , , , , , , , , , ,
MahoneyAidan,Mahoney,Aidan,  Aidan,586,60.89, , , USA, United States, , , , , , , , , , ,
HunterEvan,Hunter,Evan,  Evan,587,60.83, , , CAN, Canada, , , , , , , , , , ,
HosefrosKeegan,Hosefros,Keegan,  Keegan,588,60.75, Dragon | Ride Snowboards | ,21, USA, United States, Regular,135, Truckee, Sugarbush| Vermont, , Keegan Hosefros, , , , ,
Le FurHonorio,Le Fur,Honorio,  Honorio,589,60.73, , , FRA, France, , , , , , , , , , ,
NishizawaTenshin,Nishizawa,Tenshin,  Tenshin,590,60.47, , , JPN, Japan, , , , , , , , , , ,
ArnasonTomas Orri,Arnason,Tomas Orri,  Tomas Orri,591,60.19, , , ISL, Iceland, , , , , , , , , , ,
BremnerFindlay,Bremner,Findlay,  Findlay,592,59.94,  | ,21, GBR, United Kingdom, Goofy, 5ft 9, Aberdeen, Cairngorm Mountains| Scotland, www.finbremner.com, , www.twitter.com/finbremner, , , ,
AvtaneevNikita,Avtaneev,Nikita,  Nikita,593,59.82, Burton Snowboards | ,25, RUS, Russian Federation, Goofy, , , , , , , , , ,
PavlakosNikolas,Pavlakos,Nikolas,  Nikolas,594,59.7, , , CAN, Canada, , , , , , , , , , ,
SilverthornCole,Silverthorn,Cole,  Cole,595,59.68, ,17, CAN, Canada, Goofy, , , , , , , , , ,
McCarthyMatthew,McCarthy,Matthew,  Matthew,596,59.62, , , CAN, Canada, , , , , , , , , , ,
ShegelmanJosh,Shegelman,Josh,  Josh,597,59.54, , , CAN, Canada, , , , , , , , , , ,
ButtleFinlay,Buttle,Finlay,  Finlay,598,59.37, , , GBR, United Kingdom, , , , , , , , , , ,
SaitoRyoma,Saito,Ryoma,  Ryoma,599,59.19, , , JPN, Japan, , , , , , , , , , ,
PeterLotz,Peter,Lotz,  Lotz,600,59.1, , , GER, Germany, , , , , , , , , , ,
AndrasovichUladzislau,Andrasovich,Uladzislau,  Uladzislau,601,59.08, , , BLR, Belarus, , , , , , , , , , ,
JozsaMartin,Jozsa,Martin,  Martin,602,59.01, , , SVK, Slovakia, , , , , , , , , , ,
SeymourBailey,Seymour,Bailey,  Bailey,603,58.93, ,18, CAN, Canada, , , , , , , , , , ,
HedOlle,Hed,Olle,  Olle,604,58.88, , , SWE, Sweden, , , , , , , , , , ,
SELZLERGage,SELZLER,Gage,  Gage,605,58.83, , , CAN, Canada, , , , , , , , , , ,
FedorowyczLys,Fedorowycz,Lys,  Lys,606,58.69, , , USA, United States, , , , , , , , , , ,
ThoroddssonArnor Dagur,Thoroddsson,Arnor Dagur,  Arnor Dagur,607,58.68, , , ISL, Iceland, , , , , , , , , , ,
JonesDayton,Jones,Dayton,  Dayton,608,58.66, , , CAN, Canada, , , , , , , , , , ,
DavidssonAron Snorri,Davidsson,Aron Snorri,  Aron Snorri,609,58.61, , , ISL, Iceland, , , , , , , , , , ,
AllemandRomain,Allemand,Romain,  Romain,610,58.52, , , FRA, France, , , , , , , , , , ,
BaikieZak,Baikie,Zak,  Zak,611,58.38, , , NZL, New Zealand, , , , , , , , , , ,
HagenOle Christian,Hagen,Ole Christian,  Ole Christian,612,57.77, DC | Von Zipper | ,25, NOR, Norway, Regular, 175 cm, Kongsberg, Kongsberg, , , , , , ,
HernlerPhillip,Hernler,Phillip,  Phillip,613,57.64, , , AUT, Austria, , , , , , , , , , ,
Melville IvesCampbell,Melville Ives,Campbell,  Campbell,614,57.59, , , NZL, New Zealand, , , , , , , , , , ,
GeorgeConnor,George,Connor,  Connor,615,57.56, , , CAN, Canada, , , , , , , , , , ,
SequeiraGabriel,Sequeira,Gabriel,  Gabriel,616,57.52, , , CAN, Canada, , , , , , , , , , ,
TynanLiam,Tynan,Liam,  Liam,617,57.48, , , GBR, United Kingdom, , , , , , , , , , ,
KyriazisAris,Kyriazis,Aris,  Aris,618,57.34, , , GER, Germany, , , , , , , , , , ,
BollockRyder,Bollock,Ryder,  Ryder,619,56.81, , , USA, United States, , , , , , , , , , ,
FukadaNagisa,Fukada,Nagisa,  Nagisa,620,56.72, , , JPN, Japan, , , , , , , , , , ,
AlbrechtLondon,Albrecht,London,  London,621,56.63, , , USA, United States, , , , , , , , , , ,
LandmarkPhilip,Landmark,Philip,  Philip,622,56.63, 32 Snowboard Boots | Gnu | Icon Snowboards | ,28, SWE, Sweden, Regular, , Leksand, , , , , , , ,
StojakTino,Stojak,Tino,  Tino,623,56.46, , , CRO, CRO, , , , , , , , , , ,
WoodworthKaleb,Woodworth,Kaleb,  Kaleb,624,56.02, , , CAN, Canada, , , , , , , , , , ,
HendersonGarrett,Henderson,Garrett,  Garrett,625,55.61, , , USA, United States, , , , , , , , , , ,
ReimerNeko,Reimer,Neko,  Neko,626,55.55, , , CAN, Canada, , , , , , , , , , ,
NiwaJake,Niwa,Jake,  Jake,627,55.54, , , CAN, Canada, , , , , , , , , , ,
BrownNoah,Brown,Noah,  Noah,628,55.54, , , USA, United States, , , , , , , , , , ,
DjunaediAdam,Djunaedi,Adam,  Adam,629,55.43, , , CAN, Canada, , , , , , , , , , ,
KutmonJonathan,Kutmon,Jonathan,  Jonathan,630,55.33, , , AUT, Austria, , , , , , , , , , ,
VolopichDaniel,Volopich,Daniel,  Daniel,631,55.23, , , CZE, Czech Republic, , , , , , , , , , ,
SmitsSam,Smits,Sam,  Sam,632,55.11, , , CAN, NED, , , , , , , , , , ,
DeltrapNicky,Deltrap,Nicky,  Nicky,633,54.94, , , NED, NED, , , , , , , , , , ,
KiyomizuShuhei,Kiyomizu,Shuhei,  Shuhei,634,54.84, , , JPN, Japan, , , , , , , , , , ,
IwasakiKota,Iwasaki,Kota,  Kota,635,54.76, , , JPN, Japan, , , , , , , , , , ,
OgawaYuma,Ogawa,Yuma,  Yuma,636,54.6, ,29, JPN, Japan, Regular,169, Yokohama, hotakabokujyou skiing area, , , , , , ,
WillemsenJesse,Willemsen,Jesse,  Jesse,637,54.49, , , NED, NED, , , , , , , , , , ,
Krogt  Van DerMitchell,Krogt  Van Der,Mitchell,  Mitchell,638,54.22, , , NED, NED, , , , , , , , , , ,
TomabechiShu,Tomabechi,Shu,  Shu,639,54.19, , , JPN, Japan, , , , , , , , , , ,
SonneKonrad,Sonne,Konrad,  Konrad,640,54.12, , , AUT, Austria, , , , , , , , , , ,
BanadosFelipe,Banados,Felipe,  Felipe,641,53.77, , , CHI, CHI, , , , , , , , , , ,
ItoYuki,Ito,Yuki,  Yuki,642,53.74, , , JPN, Japan, , , , , , , , , , ,
MinkovMihail,Minkov,Mihail,  Mihail,643,53.35, ,16, BUL, BUL, , , , , , , , , , ,
KongshemHaavard,Kongshem,Haavard,  Haavard,644,52.97, , , NOR, Norway, , , , , , , , , , ,
HaslerJonas,Hasler,Jonas,  Jonas,645,52.82, , , SUI, Switzerland, , , , , , , , , , ,
McHattenColton,McHatten,Colton,  Colton,646,52.63, , , CAN, Canada, , , , , , , , , , ,
SkanderaMatyas,Skandera,Matyas,  Matyas,647,52.6, , , CZE, Czech Republic, , , , , , , , , , ,
BergmannDarek,Bergmann,Darek,  Darek,648,52.41,  | ,29, CZE, Czech Republic, Regular, , Príchovice, , , , , , , ,
PetrovskiMarko,Petrovski,Marko,  Marko,649,52.23, , , MKD, Macedonia, The Former Yugoslav Republic of, , , , , , , , , , 
GustaffsonTim,Gustaffson,Tim,  Tim,650,51.53, , , NOR, Norway, , , , , , , , , , ,
MendoliaFacundo Catriel,Mendolia,Facundo Catriel,  Facundo Catriel,651,51.38, , , ARG, Argentina, , , , , , , , , , ,
MontalvoTrey,Montalvo,Trey,  Trey,652,51.3, , , CAN, Canada, , , , , , , , , , ,
LuengoEsteeban,Luengo,Esteeban,  Esteeban,653,51.07, , , ARG, Argentina, , , , , , , , , , ,
CarlundCornelia,Carlund,Cornelia,  Cornelia,654,51.05, , , SWE, Sweden, , , , , , , , , , ,
OzahataSora,Ozahata,Sora,  Sora,655,51.03, , , JPN, Japan, , , , , , , , , , ,
JenssenBjorn Johan,Jenssen,Bjorn Johan,  Bjorn Johan,656,50.95, , , NOR, Norway, , , , , , , , , , ,
HeningerDexter,Heninger,Dexter,  Dexter,657,50.67, , , CAN, Canada, , , , , , , , , , ,
ArnarssonSkirnir Dadi,Arnarsson,Skirnir Dadi,  Skirnir Dadi,658,50.46, , , ISL, Iceland, , , , , , , , , , ,
DavidsonBarack,Davidson,Barack,  Barack,659,50.41, , , CAN, Canada, , , , , , , , , , ,
BauerRaphael,Bauer,Raphael,  Raphael,660,50.39, , , FRA, France, , , , , , , , , , ,
PeterJakob,Peter,Jakob,  Jakob,661,50.24, , , GER, Germany, , , , , , , , , , ,
OdinssonHafsteinn Heimir,Odinsson,Hafsteinn Heimir,  Hafsteinn Heimir,662,50.23, , , ISL, Iceland, , , , , , , , , , ,
DelagoLukas,Delago,Lukas,  Lukas,663,50.21, , , GER, Germany, , , , , , , , , , ,
LegacFran,Legac,Fran,  Fran,664,50.17, , , CRO, CRO, , , , , , , , , , ,
WiffenJadon,Wiffen,Jadon,  Jadon,665,50.09, , , CAN, Canada, , , , , , , , , , ,
AsmundssonEinar Agust,Asmundsson,Einar Agust,  Einar Agust,666,49.95, , , ISL, Iceland, , , , , , , , , , ,
ObradovicPetar,Obradovic,Petar,  Petar,667,49.88, , , SRB, Serbia, , , , , , , , , , ,
JiangXinjie,Jiang,Xinjie,  Xinjie,668,49.86, , , CHN, China, , , , , , , , , , ,
AngstlLinus,Angstl,Linus,  Linus,669,49.8, , , GER, Germany, , , , , , , , , , ,
CopenhaverClay,Copenhaver,Clay,  Clay,670,49.57, , , USA, United States, , , , , , , , , , ,
SladicAljaz,Sladic,Aljaz,  Aljaz,671,49.57, , , SLO, SLO, , , , , , , , , , ,
SteendamCole,Steendam,Cole,  Cole,672,49.53, , , CAN, Canada, , , , , , , , , , ,
GiovanniniEdoardo,Giovannini,Edoardo,  Edoardo,673,49.51, , , ITA, Italy, , , , , , , , , , ,
ChoiSeongjun,Choi,Seongjun,  Seongjun,674,49.25, , , KOR, Korea, Republic of, , , , , , , , , , 
RadulovicOgnjen,Radulovic,Ognjen,  Ognjen,675,49.22, , , SRB, Serbia, , , , , , , , , , ,
RodriguezXavier,Rodriguez,Xavier,  Xavier,676,49.09, ,25, AND, Andorra, , , , , , , , , , ,
GrkovicVladan,Grkovic,Vladan,  Vladan,677,48.94, , , SRB, Serbia, , , , , , , , , , ,
WestfallJake,Westfall,Jake,  Jake,678,48.93, , , USA, United States, , , , , , , , , , ,
StrobelSeth,Strobel,Seth,  Seth,679,48.7, , , CAN, Canada, , , , , , , , , , ,
LaytonKurt,Layton,Kurt,  Kurt,680,48.59, ,26, CAN, Canada, , , , , , , , , , ,
MasudaRiku,Masuda,Riku,  Riku,680,48.59, , , JPN, Japan, , , , , , , , , , ,
SatoKai,Sato,Kai,  Kai,682,48.52, , , JPN, Japan, , , , , , , , , , ,
BjorgvinssonArnar,Bjorgvinsson,Arnar,  Arnar,683,48.47, , , ISL, Iceland, , , , , , , , , , ,
ArmbrusterJack,Armbruster,Jack,  Jack,684,48.26, , , USA, United States, , , , , , , , , , ,
BaezGonzalo Daniel,Baez,Gonzalo Daniel,  Gonzalo Daniel,685,48.13, , , ARG, Argentina, , , , , , , , , , ,
TarmannMarcel,Tarmann,Marcel,  Marcel,686,48.13, , , AUT, Austria, , , , , , , , , , ,
KordiakDavid,Kordiak,David,  David,687,48.12, ,23, SVK, Slovakia, , , , , , , , , , ,
GastlAngelo,Gastl,Angelo,  Angelo,688,48.07, , , AUT, Austria, , , , , , , , , , ,
Mazet BrownTxema,Mazet Brown,Txema,  Txema,689,47.73, , , NZL, New Zealand, , , , , , , , , , ,
HuiYining,Hui,Yining,  Yining,690,47.72, , , CHN, China, , , , , , , , , , ,
KomsiJuuse,Komsi,Juuse,  Juuse,691,47.71, , , FIN, Finland, , , , , , , , , , ,
OsmondTommy,Osmond,Tommy,  Tommy,692,47.68, , , GBR, United Kingdom, , , , , , , , , , ,
